 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,2862.333,74.691,213791.399,4148953.000
2,A-slice:0001-0421:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.201,161.356,2452.780,47600.000
3,A-slice:0002-0434:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,22.209,113.218,2514.461,48797.000
4,A-slice:0003-0440:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.520,128.732,2255.373,43769.000
5,A-slice:0004-0444:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,16.902,114.207,1930.276,37460.000
6,A-slice:0005-0443:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,19.220,130.209,2502.660,48568.000
7,A-slice:0006-0453:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.571,145.645,2559.188,49665.000
8,A-slice:0007-0458:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.365,281.065,4880.775,94719.000
9,A-slice:0008-0462:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,19.529,115.828,2262.072,43899.000
10,A-slice:0009-0460:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.253,128.537,1960.524,38047.000
11,A-slice:0010-0473:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,48.180,207.030,9974.623,193573.000
12,A-slice:0011-0469:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.357,107.199,1110.295,21547.000
13,A-slice:0012-0474:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,29.475,268.411,7911.299,153531.000
14,A-slice:0013-0479:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.726,134.430,2382.907,46244.000
15,A-slice:0014-0486:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.715,119.012,2465.302,47843.000
16,A-slice:0015-0487:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.203,133.591,1362.994,26451.000
17,A-slice:0016-0490:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,11.285,99.648,1124.517,21823.000
18,A-slice:0017-0496:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,18.087,134.781,2437.734,47308.000
19,A-slice:0018-0494:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.468,174.301,3044.746,59088.000
20,A-slice:0019-0502:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,42.254,144.551,6107.835,118532.000
21,A-slice:0020-0500:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,18.293,164.011,3000.224,58224.000
22,A-slice:0021-0502:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,18.396,147.485,2713.105,52652.000
23,A-slice:0022-0507:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.882,107.152,1380.359,26788.000
24,A-slice:0023-0522:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.150,110.616,1675.775,32521.000
25,A-slice:0024-0526:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.304,122.320,1871.997,36329.000
26,A-slice:0025-0538:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.702,106.914,3068.603,59551.000
27,A-slice:0026-0536:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,24.476,163.046,3990.766,77447.000
28,A-slice:0027-0542:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,24.373,104.469,2546.254,49414.000
29,A-slice:0028-0550:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,22.982,115.078,2644.726,51325.000
30,A-slice:0029-0572:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,14.377,106.233,1527.268,29639.000
31,A-slice:0030-0584:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.243,112.584,1490.940,28934.000
32,A-slice:pNC:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,2862.333,46.578,133322.064,2587321.000
33,A-slice:0001-0421:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.201,17.525,266.405,5170.000
34,A-slice:0002-0434:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,22.209,50.088,1112.408,21588.000
35,A-slice:0003-0440:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.520,23.535,412.335,8002.000
36,A-slice:0004-0444:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,16.902,18.320,309.638,6009.000
37,A-slice:0005-0443:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,19.220,20.019,384.767,7467.000
38,A-slice:0006-0453:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.571,29.411,516.784,10029.000
39,A-slice:0007-0458:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.365,115.685,2008.910,38986.000
40,A-slice:0008-0462:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,19.529,21.976,429.185,8329.000
41,A-slice:0009-0460:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.253,15.760,240.383,4665.000
42,A-slice:0010-0473:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,48.180,43.053,2074.300,40255.000
43,A-slice:0011-0469:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.357,34.796,360.394,6994.000
44,A-slice:0012-0474:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,29.475,124.299,3663.660,71099.000
45,A-slice:0013-0479:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.726,19.817,351.273,6817.000
