 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,6220.426,106.017,659468.966,12798016.000
2,A-slice:0001-0640:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,29.784,240.223,7154.750,138849.000
3,A-slice:0002-0642:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,14.995,290.608,4357.653,84567.000
4,A-slice:0003-0647:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.766,156.697,3254.005,63149.000
5,A-slice:0004-0647:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.826,199.993,5564.926,107996.000
6,A-slice:0005-0651:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.314,220.357,3815.207,74040.000
7,A-slice:0006-0658:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,16.592,160.168,2657.557,51574.000
8,A-slice:0007-0667:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.959,212.230,6146.018,119273.000
9,A-slice:0008-0666:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.877,256.105,7139.498,138553.000
10,A-slice:0009-0668:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,22.518,320.998,7228.282,140276.000
11,A-slice:0010-0683:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,46.273,366.976,16981.073,329544.000
12,A-slice:0011-0680:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.650,372.606,10675.211,207169.000
13,A-slice:0012-0679:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.707,260.034,3564.209,69169.000
14,A-slice:0013-0681:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.604,404.318,5500.205,106740.000
15,A-slice:0014-0698:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,49.829,412.521,20555.330,398908.000
16,A-slice:0015-0690:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.976,171.723,1884.776,36577.000
17,A-slice:0016-0694:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21.178,276.545,5856.786,113660.000
18,A-slice:0017-0693:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.304,265.027,4056.002,78713.000
19,A-slice:0018-0693:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.934,210.482,2722.329,52831.000
20,A-slice:0019-0705:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21.075,193.399,4075.944,79100.000
21,A-slice:0020-0710:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,37.822,166.074,6281.282,121898.000
22,A-slice:0021-0713:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,26.537,248.258,6588.137,127853.000
23,A-slice:0022-0714:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,24.322,318.413,7744.345,150291.000
24,A-slice:0023-0730:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,33.751,181.676,6131.848,118998.000
25,A-slice:0024-0739:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,59.671,206.824,12341.299,239502.000
26,A-slice:0025-0739:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,32.360,203.662,6590.559,127900.000
27,A-slice:0026-0736:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,25.249,181.508,4582.938,88939.000
28,A-slice:0027-0738:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,24.476,224.349,5491.239,106566.000
29,A-slice:0028-0736:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.676,144.837,1835.978,35630.000
30,A-slice:0029-0742:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,35.452,206.551,7322.632,142107.000
31,A-slice:0030-0744:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,11.800,137.987,1628.265,31599.000
32,A-slice:0031-0753:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,37.616,189.138,7114.661,138071.000
33,A-slice:0032-0751:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.201,142.749,2169.938,42111.000
34,A-slice:0033-0763:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,38.904,201.317,7832.099,151994.000
35,A-slice:0034-0760:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,18.550,126.225,2341.529,45441.000
36,A-slice:0035-0766:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,32.515,219.412,7134.139,138449.000
37,A-slice:0036-0766:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.058,117.517,1416.996,27499.000
38,A-slice:0037-0772:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,26.640,194.180,5173.048,100391.000
39,A-slice:0038-0767:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,11.542,143.281,1653.823,32095.000
40,A-slice:0039-0769:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,26.950,148.516,4002.464,77674.000
41,A-slice:0040-0790:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,46.170,191.653,8848.611,171721.000
42,A-slice:0041-0793:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,44.727,162.750,7279.347,141267.000
43,A-slice:0042-0781:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,11.439,136.302,1559.216,30259.000
44,A-slice:0043-0790:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,30.248,148.216,4483.178,87003.000
45,A-slice:0044-0793:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,23.858,203.352,4851.558,94152.000
46,A-slice:0045-0799:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,44.985,210.962,9490.096,184170.000
47,A-slice:0046-0802:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.006,131.279,1576.169,30588.000
48,A-slice:0047-0801:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.774,155.985,4332.352,84076.000
49,A-slice:0048-0802:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,23.394,190.932,4466.688,86683.000
50,A-slice:0049-0809:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,39.574,157.732,6242.120,121138.000
51,A-slice:0050-0822:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,30.299,152.781,4629.108,89835.000
52,A-slice:0051-0822:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21.642,307.488,6654.713,129145.000
53,A-slice:0052-0823:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,22.003,233.604,5139.966,99749.000
54,A-slice:0053-0831:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,23.909,134.918,3225.818,62602.000
55,A-slice:0054-0842:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,19.736,135.966,2683.373,52075.000
56,A-slice:0055-0843:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,19.169,195.828,3753.785,72848.000
57,A-slice:0056-0848:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.357,221.060,2289.588,44433.000
58,A-slice:0057-0852:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21.024,246.794,5188.558,100692.000
59,A-slice:0058-0869:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.667,156.324,1667.427,32359.000
60,A-slice:pNC:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,6220.426,46.551,289565.876,5619474.000
61,A-slice:0001-0640:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,29.784,21.607,643.546,12489.000
62,A-slice:0002-0642:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,14.995,136.790,2051.163,39806.000
63,A-slice:0003-0647:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.766,43.784,909.229,17645.000
64,A-slice:0004-0647:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.826,98.457,2739.642,53167.000
65,A-slice:0005-0651:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.314,272.679,4721.087,91620.000
66,A-slice:0006-0658:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,16.592,32.040,531.625,10317.000
67,A-slice:0007-0667:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.959,69.733,2019.422,39190.000
68,A-slice:0008-0666:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.877,163.113,4547.125,88244.000
69,A-slice:0009-0668:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,22.518,40.302,907.529,17612.000
70,A-slice:0010-0683:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,46.273,145.588,6736.798,130738.000
71,A-slice:0011-0680:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.650,43.056,1233.553,23939.000
72,A-slice:0012-0679:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.707,24.308,333.187,6466.000
73,A-slice:0013-0681:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.604,58.193,791.640,15363.000
74,A-slice:0014-0698:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,49.829,38.759,1931.307,37480.000
75,A-slice:0015-0690:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.976,51.207,562.027,10907.000
76,A-slice:0016-0694:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21.178,25.107,531.728,10319.000
77,A-slice:0017-0693:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.304,23.636,361.734,7020.000
78,A-slice:0018-0693:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.934,35.510,459.278,8913.000
79,A-slice:0019-0705:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21.075,36.858,776.800,15075.000
80,A-slice:0020-0710:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,37.822,31.238,1181.508,22929.000
81,A-slice:0021-0713:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,26.537,56.206,1491.558,28946.000
82,A-slice:0022-0714:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,24.322,38.862,945.196,18343.000
83,A-slice:0023-0730:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,33.751,32.458,1095.507,21260.000
84,A-slice:0024-0739:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,59.671,45.370,2707.282,52539.000
85,A-slice:0025-0739:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,32.360,19.989,646.844,12553.000
86,A-slice:0026-0736:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,25.249,15.996,403.884,7838.000
87,A-slice:0027-0738:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,24.476,20.495,501.635,9735.000
88,A-slice:0028-0736:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.676,56.923,721.561,14003.000
89,A-slice:0029-0742:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,35.452,21.212,752.014,14594.000
90,A-slice:0030-0744:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,11.800,27.747,327.415,6354.000
91,A-slice:0031-0753:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,37.616,21.295,801.018,15545.000
92,A-slice:0032-0751:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.201,29.458,447.787,8690.000
93,A-slice:0033-0763:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,38.904,36.555,1422.149,27599.000
94,A-slice:0034-0760:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,18.550,25.744,477.571,9268.000
95,A-slice:0035-0766:c:2/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,32.515,20.391,663.024,12867.000
