 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,15034.204,38.856,584163.095,11336589.000
2,A-slice:0001-0407:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.770,112.067,1206.912,23422.000
3,A-slice:0002-0414:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,17.571,108.660,1909.304,37053.000
4,A-slice:0003-0412:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,16.438,137.721,2263.824,43933.000
5,A-slice:0004-0417:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.667,104.459,1114.212,21623.000
6,A-slice:0005-0420:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,25.507,180.697,4609.011,89445.000
7,A-slice:0006-0426:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,28.186,124.583,3511.547,68147.000
8,A-slice:0007-0431:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,18.344,123.371,2263.154,43920.000
9,A-slice:0008-0433:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,29.114,132.396,3854.575,74804.000
10,A-slice:0009-0435:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,14.067,154.216,2169.422,42101.000
11,A-slice:0010-0449:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,32.566,129.087,4203.890,81583.000
12,A-slice:0011-0451:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.233,151.725,1704.373,33076.000
13,A-slice:0012-0454:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.646,144.779,1686.029,32720.000
14,A-slice:0013-0468:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,18.808,140.362,2639.934,51232.000
15,A-slice:0014-0471:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,25.713,163.411,4201.778,81542.000
16,A-slice:0015-0472:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,26.228,112.026,2938.235,57021.000
17,A-slice:0016-0478:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,29.887,134.140,4009.008,77801.000
18,A-slice:0017-0479:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,24.064,206.379,4966.313,96379.000
19,A-slice:0018-0481:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,26.589,156.533,4162.049,80771.000
