 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,5398.796,53.011,286197.373,5554103.000
2,A-slice:0001-0963:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,54.105,213.931,11574.856,224628.000
3,A-slice:0002-0989:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,14.634,147.884,2164.166,41999.000
4,A-slice:0003-1020:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,15.253,105.169,1604.098,31130.000
5,A-slice:0004-1078:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,13.604,107.182,1458.065,28296.000
6,A-slice:0005-1081:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,22.724,184.769,4198.738,81483.000
7,A-slice:0006-1110:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,13.243,136.397,1806.298,35054.000
8,A-slice:0007-1120:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,25.868,186.022,4811.933,93383.000
9,A-slice:0008-1133:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,11.285,214.347,2418.874,46942.000
10,A-slice:0009-1150:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,43.078,196.030,8444.624,163881.000
11,A-slice:0010-1153:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,26.640,211.557,5635.984,109375.000
12,A-slice:0011-1158:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,21.281,194.155,4131.904,80186.000
13,A-slice:0012-1161:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,22.054,204.834,4517.496,87669.000
14,A-slice:0013-1185:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,17.211,103.784,1786.201,34664.000
15,A-slice:0014-1185:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,16.902,248.768,4204.560,81596.000
16,A-slice:0015-1203:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,43.594,169.226,7377.149,143165.000
17,A-slice:0016-1215:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,48.128,222.706,10718.393,208007.000
18,A-slice:0017-1219:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,29.165,147.650,4306.279,83570.000
19,A-slice:0018-1231:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,23.137,182.203,4215.536,81809.000
20,A-slice:0019-1249:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,22.054,146.766,3236.846,62816.000
21,A-slice:0020-1248:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,15.922,164.217,2614.736,50743.000
22,A-slice:0021-1308:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,21.075,167.408,3528.191,68470.000
23,A-slice:0022-1313:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,22.982,167.865,3857.873,74868.000
24,A-slice:0023-1317:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,15.922,176.019,2802.662,54390.000
25,A-slice:0024-1327:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,11.182,145.553,1627.543,31585.000
26,A-slice:0025-1343:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,21.642,122.593,2653.177,51489.000
27,A-slice:0026-1356:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,36.483,165.380,6033.479,117089.000
28,A-slice:0027-1354:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,15.098,105.365,1590.803,30872.000
29,A-slice:0028-1445:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,12.625,125.963,1590.236,30861.000
30,A-slice:0029-1452:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,34.885,204.555,7135.942,138484.000
31,A-slice:0030-1459:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,13.449,146.762,1973.818,38305.000
32,A-slice:0031-1471:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,10.460,187.542,1961.761,38071.000
33,A-slice:0032-1482:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,23.085,206.051,4756.694,92311.000
34,A-slice:0033-1483:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_11,17.623,168.234,2964.773,57536.000
