 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,3842.569,34.438,132331.419,2568096.000
2,A-slice:0001-0471:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.770,93.641,1008.474,19571.000
3,A-slice:0002-0475:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,12.625,90.939,1148.066,22280.000
4,A-slice:0003-0491:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.285,84.530,953.905,18512.000
5,A-slice:0004-0531:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,12.625,87.698,1107.152,21486.000
6,A-slice:0005-0554:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.542,88.420,1020.583,19806.000
7,A-slice:0006-0577:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,13.758,74.749,1028.416,19958.000
8,A-slice:0007-0676:c:1/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.409,77.772,809.521,15710.000
9,A-slice:pNC:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,3842.569,54.495,209399.634,4063724.000
10,A-slice:0001-0471:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.770,36.617,394.351,7653.000
11,A-slice:0002-0475:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,12.625,42.669,538.684,10454.000
12,A-slice:0003-0491:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.285,53.279,601.240,11668.000
13,A-slice:0004-0531:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,12.625,74.669,942.672,18294.000
14,A-slice:0005-0554:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.542,51.866,598.664,11618.000
15,A-slice:0006-0577:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,13.758,17.243,237.240,4604.000
16,A-slice:0007-0676:c:2/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.409,13.436,139.850,2714.000
17,A-slice:pNC:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,3842.569,21.668,83261.125,1615811.000
18,A-slice:0001-0471:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.770,143.498,1545.406,29991.000
19,A-slice:0002-0475:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,12.625,90.869,1147.190,22263.000
20,A-slice:0003-0491:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.285,19.584,221.008,4289.000
21,A-slice:0004-0531:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,12.625,18.437,232.756,4517.000
22,A-slice:0005-0554:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,11.542,14.741,170.149,3302.000
23,A-slice:0006-0577:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,13.758,11.742,161.543,3135.000
24,A-slice:0007-0676:c:3/3 z:3/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,10.409,11.094,115.476,2241.000
