 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,16003.619,36.420,582845.704,11311023.000
2,A-slice:0001-0669:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,37.616,85.312,3209.123,62278.000
3,A-slice:0002-0674:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,41.790,129.469,5410.493,104999.000
4,A-slice:0003-0689:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,23.549,116.748,2749.278,53354.000
5,A-slice:0004-0687:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,28.650,80.998,2320.609,45035.000
6,A-slice:0005-0700:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,32.309,95.364,3081.073,59793.000
7,A-slice:0006-0693:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,46.015,122.825,5651.855,109683.000
8,A-slice:0007-0696:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,54.157,108.208,5860.239,113727.000
9,A-slice:0008-0707:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,35.349,151.739,5363.808,104093.000
10,A-slice:0009-0705:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,10.357,52.353,542.240,10523.000
11,A-slice:0010-0708:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,13.346,79.969,1067.269,20712.000
12,A-slice:0011-0712:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,21.436,91.870,1969.335,38218.000
13,A-slice:0012-0717:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,23.446,68.123,1597.193,30996.000
14,A-slice:0013-0717:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,19.684,66.791,1314.711,25514.000
15,A-slice:0014-0722:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,34.782,112.729,3920.945,76092.000
16,A-slice:0015-0730:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,64.875,132.214,8577.363,166457.000
17,A-slice:0016-0718:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,17.932,92.092,1651.401,32048.000
18,A-slice:0017-0724:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,25.146,79.707,2004.324,38897.000
19,A-slice:0018-0735:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,33.185,118.887,3945.215,76563.000
20,A-slice:0019-0727:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,28.908,159.271,4604.168,89351.000
21,A-slice:0020-0731:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,36.740,84.048,3087.927,59926.000
22,A-slice:0021-0725:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,19.014,93.317,1774.350,34434.000
23,A-slice:0022-0726:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,13.191,67.473,890.060,17273.000
24,A-slice:0023-0734:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,47.098,143.294,6748.805,130971.000
25,A-slice:0024-0727:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,16.077,104.154,1674.486,32496.000
26,A-slice:0025-0734:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,19.581,95.900,1877.820,36442.000
27,A-slice:0026-0733:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,17.829,95.971,1711.072,33206.000
28,A-slice:0027-0741:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,34.731,85.604,2973.069,57697.000
29,A-slice:0028-0741:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,34.215,86.614,2963.536,57512.000
30,A-slice:0029-0735:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,14.428,72.821,1050.676,20390.000
31,A-slice:0030-0734:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,12.470,92.289,1150.849,22334.000
32,A-slice:0031-0737:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,10.718,105.014,1125.548,21843.000
33,A-slice:0032-0745:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,11.852,78.291,927.883,18007.000
34,A-slice:0033-0748:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,26.331,96.916,2551.922,49524.000
35,A-slice:0034-0752:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,34.679,110.437,3829.841,74324.000
36,A-slice:0035-0761:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,51.941,78.821,4094.082,79452.000
37,A-slice:0036-0753:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb2_3s,14.325,113.647,1628.007,31594.000
