 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21428.386,55.012,1178810.898,22876650.000
2,A-slice:0001-0344:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,16.335,97.120,1586.423,30787.000
3,A-slice:0002-0352:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,29.732,155.925,4636.013,89969.000
4,A-slice:0003-0361:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.718,90.784,973.022,18883.000
5,A-slice:0004-0366:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,23.755,90.477,2149.275,41710.000
6,A-slice:0005-0378:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,29.217,259.185,7572.599,146958.000
7,A-slice:0006-0393:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.083,158.073,4439.223,86150.000
8,A-slice:0007-0384:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,21.591,163.776,3536.023,68622.000
9,A-slice:0008-0386:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,34.370,182.480,6271.801,121714.000
10,A-slice:0009-0388:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.509,178.475,3660.259,71033.000
11,A-slice:0010-0391:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,30.711,145.012,4453.497,86427.000
12,A-slice:0011-0393:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.417,122.725,2137.474,41481.000
13,A-slice:0012-0396:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,33.803,221.341,7482.011,145200.000
14,A-slice:0013-0411:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,38.235,241.832,9246.312,179439.000
15,A-slice:0014-0414:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,38.647,164.292,6349.352,123219.000
16,A-slice:0015-0427:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,25.095,179.961,4516.053,87641.000
17,A-slice:0016-0445:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,36.792,173.796,6394.234,124090.000
18,A-slice:0017-0444:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,18.344,145.916,2676.725,51946.000
19,A-slice:0018-0447:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.663,166.025,3430.595,66576.000
