 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,24111.707,27.382,660222.630,12812642.000
2,A-slice:0001-0419:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.083,113.565,3189.284,61893.000
3,A-slice:0002-0422:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,14.480,99.534,1441.215,27969.000
4,A-slice:0003-0431:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,14.067,91.740,1290.544,25045.000
5,A-slice:0004-0437:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.254,109.834,1126.269,21857.000
6,A-slice:0005-0439:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.522,75.819,949.370,18424.000
7,A-slice:0006-0440:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.501,89.271,1205.212,23389.000
8,A-slice:0007-0448:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.109,89.545,1084.325,21043.000
9,A-slice:0008-0452:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,32.772,71.112,2330.502,45227.000
10,A-slice:0009-0453:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.148,78.066,1572.871,30524.000
11,A-slice:0010-0458:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.613,58.832,918.556,17826.000
12,A-slice:0011-0468:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,29.938,206.749,6189.715,120121.000
13,A-slice:0012-0464:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,18.344,63.449,1163.937,22588.000
14,A-slice:0013-0474:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.048,67.626,679.513,13187.000
15,A-slice:0014-0501:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.877,94.819,2643.283,51297.000
16,A-slice:0015-0517:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,31.072,110.449,3431.883,66601.000
17,A-slice:0016-0532:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.881,80.222,1434.413,27837.000
18,A-slice:0017-0536:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.604,72.735,989.460,19202.000
19,A-slice:0018-0550:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.108,81.738,1398.342,27137.000
20,A-slice:0019-0554:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.663,65.820,1360.056,26394.000
21,A-slice:0020-0575:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.459,73.933,1142.913,22180.000
22,A-slice:0021-0579:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,11.388,67.100,764.124,14829.000
23,A-slice:0022-0592:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,15.201,67.776,1030.271,19994.000
24,A-slice:0023-0592:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.367,76.492,945.969,18358.000
25,A-slice:0024-0600:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.676,96.472,1222.886,23732.000
26,A-slice:0025-0605:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,11.130,67.977,756.600,14683.000
27,A-slice:0026-0612:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,20.766,93.432,1940.221,37653.000
28,A-slice:0027-0632:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.207,72.098,1961.606,38068.000
29,A-slice:0028-0626:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,19.117,60.582,1158.166,22476.000
30,A-slice:0029-0636:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,16.541,66.682,1102.978,21405.000
31,A-slice:0030-0648:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,22.106,79.592,1759.458,34145.000
32,A-slice:0031-0663:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.829,62.538,1114.985,21638.000
33,A-slice:0032-0701:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,12.573,65.738,826.525,16040.000
34,A-slice:0033-0712:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,13.861,90.019,1247.775,24215.000
35,A-slice:0034-0731:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,28.959,111.205,3220.408,62497.000
36,A-slice:0035-0731:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,10.770,66.866,720.118,13975.000
37,A-slice:0036-0736:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,14.274,66.264,945.815,18355.000
38,A-slice:0037-0745:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,17.932,72.727,1304.147,25309.000
39,A-slice:0038-0760:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,27.568,81.088,2235.431,43382.000
40,A-slice:0039-0766:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_10,25.661,70.127,1799.547,34923.000
