 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,18785.567,87.633,1646239.423,31947824.000
2,A-slice:0001-0565:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,18.550,352.389,6536.969,126860.000
3,A-slice:0002-0566:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,13.037,219.893,2866.713,55633.000
4,A-slice:0003-0572:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,27.516,264.144,7268.320,141053.000
5,A-slice:0004-0585:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,36.225,480.630,17410.773,337883.000
6,A-slice:0005-0591:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,27.001,274.374,7408.427,143772.000
7,A-slice:0006-0592:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,49.622,433.133,21493.107,417107.000
8,A-slice:0007-0604:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,69.822,339.858,23729.465,460507.000
9,A-slice:0008-0594:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,12.676,260.675,3304.349,64126.000
10,A-slice:0009-0610:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,27.413,442.256,12123.743,235280.000
11,A-slice:0010-0627:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,47.458,412.254,19564.840,379686.000
12,A-slice:0011-0628:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,29.165,517.647,15097.379,292988.000
13,A-slice:0012-0635:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,49.983,372.790,18633.196,361606.000
14,A-slice:0013-0631:c:1/3 z:4/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_10,14.119,170.212,2403.210,46638.000
