 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,7073.437,178.345,1261512.933,24481611.000
2,A-slice:0001-0415:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,56.785,669.440,38014.128,737723.000
3,A-slice:0002-0419:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,14.686,836.867,12290.027,238507.000
4,A-slice:0003-0449:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,59.155,577.539,34164.500,663015.000
5,A-slice:0004-0436:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,18.190,446.363,8119.218,157566.000
6,A-slice:0005-0459:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,65.545,558.039,36576.572,709825.000
7,A-slice:0006-0474:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,31.020,730.316,22654.725,439650.000
8,A-slice:0007-0482:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,36.328,680.908,24735.981,480040.000
9,A-slice:0008-0483:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,16.283,712.962,11609.278,225296.000
10,A-slice:0009-0494:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,36.328,585.007,21252.105,412430.000
11,A-slice:0010-0504:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,44.779,517.009,23151.001,449281.000
12,A-slice:0011-0532:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,20.766,501.901,10422.565,202266.000
13,A-slice:0012-0594:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,27.310,540.025,14748.270,286213.000
14,A-slice:pNC:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,7073.437,32.864,232460.407,4511254.000
15,A-slice:0001-0415:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,56.785,86.701,4923.338,95545.000
16,A-slice:0002-0419:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,14.686,36.635,538.014,10441.000
17,A-slice:0003-0449:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,59.155,42.605,2520.283,48910.000
18,A-slice:0004-0436:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,18.190,15.558,282.997,5492.000
19,A-slice:0005-0459:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,65.545,97.976,6421.853,124626.000
