 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,3352.837,159.212,533812.820,10359464.000
2,A-slice:0001-0774:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,20.560,717.033,14742.241,286096.000
3,A-slice:0002-0790:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,22.982,496.070,11400.637,221247.000
4,A-slice:0003-0815:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,24.734,506.456,12526.648,243099.000
5,A-slice:0004-0831:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,31.948,486.487,15542.280,301622.000
6,A-slice:0005-0934:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,19.736,516.687,10197.125,197891.000
7,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,3352.837,69.396,232671.882,4515358.000
8,A-slice:0001-0774:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,20.560,39.862,819.569,15905.000
9,A-slice:0002-0790:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,22.982,28.785,661.529,12838.000
10,A-slice:0003-0815:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,24.734,57.163,1413.853,27438.000
11,A-slice:0004-0831:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,31.948,151.895,4852.744,94175.000
12,A-slice:0005-0934:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,19.736,34.488,680.647,13209.000
13,A-slice:mNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,3352.837,127.416,427204.627,8290567.000
14,A-slice:0001-0774:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,20.560,81.672,1679.176,32587.000
15,A-slice:0002-0790:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,22.982,68.776,1580.601,30674.000
16,A-slice:0003-0815:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,24.734,229.835,5684.731,110321.000
17,A-slice:0004-0831:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,31.948,506.090,16168.564,313776.000
18,A-slice:0005-0934:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb11_9ss_sec,19.736,1368.849,27015.057,524269.000
