 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,22313.397,152.053,3392814.723,65842821.000
2,A-slice:0001-0234:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,21.333,792.824,16913.312,328229.000
3,A-slice:0002-0249:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,21.694,655.644,14223.344,276026.000
4,A-slice:0003-0257:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,51.168,902.862,46197.913,896542.000
5,A-slice:0004-0262:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,23.033,575.801,13262.689,257383.000
6,A-slice:0005-0272:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,32.000,815.562,26097.583,506464.000
7,A-slice:0006-0269:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,27.774,664.638,18459.749,358240.000
8,A-slice:0007-0277:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,15.974,556.277,8885.970,172446.000
9,A-slice:0008-0285:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,24.322,574.388,13970.079,271111.000
10,A-slice:0009-0298:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,32.927,892.310,29381.114,570186.000
11,A-slice:0010-0307:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,46.943,726.604,34108.900,661936.000
12,A-slice:0011-0307:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,37.668,826.822,31144.488,604407.000
13,A-slice:0012-0321:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,27.413,695.994,19079.591,370269.000
14,A-slice:0013-0337:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,26.383,904.166,23854.475,462933.000
15,A-slice:0014-0358:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,39.420,828.320,32652.124,633665.000
16,A-slice:0015-0356:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,29.938,676.582,20255.741,393094.000
17,A-slice:0016-0372:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,35.400,731.747,25904.144,502710.000
18,A-slice:0017-0391:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,31.587,757.576,23929.758,464394.000
