 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,4613.494,226.705,1045903.642,20297379
2,A-slice:0001-0737:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,25.971,970.494,25204.328,489129
3,A-slice:0002-0736:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,22.209,790.329,17552.426,340632
4,A-slice:0003-0939:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,25.765,959.932,24732.168,479966
5,A-slice:0004-1087:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,21.797,842.544,18364.729,356396
6,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,4613.494,132.788,612614.780,11888738
7,A-slice:0001-0737:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,25.971,30.698,797.257,15472
8,A-slice:0002-0736:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,22.209,41.218,915.413,17765
9,A-slice:0003-0939:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,25.765,54.350,1400.301,27175
10,A-slice:0004-1087:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,21.797,51.340,1119.055,21717
11,A-slice:mNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,4613.494,86.427,398732.226,7738016
12,A-slice:0001-0737:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,25.971,89.855,2333.594,45287
13,A-slice:0002-0736:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,22.209,73.397,1630.068,31634
14,A-slice:0003-0939:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,25.765,424.106,10926.879,212053
15,A-slice:0004-1087:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,21.797,341.255,7438.263,144351
