 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,13674.766,135.360,1851012.320,35921759.000
2,A-slice:0001-0378:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,43.645,489.401,21359.956,414523.000
3,A-slice:0002-0394:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,23.755,383.087,9100.176,176603.000
4,A-slice:0003-0406:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,19.529,363.045,7090.081,137594.000
5,A-slice:0004-0479:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,33.185,468.964,15562.428,302013.000
6,A-slice:0005-0493:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,82.962,501.630,41616.109,807625.000
7,A-slice:0006-0483:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,20.869,406.528,8483.941,164644.000
8,A-slice:0007-0491:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,27.774,417.024,11582.483,224776.000
9,A-slice:0008-0500:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,32.257,417.441,13465.455,261318.000
10,A-slice:0009-0503:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,23.033,379.855,8749.367,169795.000
11,A-slice:0010-0519:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,17.159,386.204,6626.939,128606.000
12,A-slice:0011-0522:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,28.959,431.810,12504.903,242677.000
13,A-slice:0012-0529:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,17.571,351.751,6180.749,119947.000
14,A-slice:0013-0535:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,15.562,360.536,5610.581,108882.000
15,A-slice:0014-0553:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,36.998,380.884,14091.893,273475.000
16,A-slice:0015-0551:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,19.375,522.298,10119.471,196384.000
17,A-slice:0016-0553:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,24.167,422.629,10213.718,198213.000
18,A-slice:0017-0563:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,21.230,365.903,7768.100,150752.000
19,A-slice:0018-0568:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,31.587,456.380,14415.805,279761.000
20,A-slice:0019-0582:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,18.344,341.031,6255.981,121407.000
21,A-slice:0020-0601:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,28.599,405.739,11603.558,225185.000
22,A-slice:0021-0611:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,42.048,550.646,23153.371,449327.000
23,A-slice:0022-0658:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,31.639,396.917,12557.978,243707.000
24,A-slice:0023-0660:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,19.375,402.973,7807.571,151518.000
25,A-slice:0024-0693:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,28.856,489.264,14118.328,273988.000
26,A-slice:0025-0707:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,36.740,447.986,16459.084,319414.000
27,A-slice:0026-0716:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec1,18.653,386.378,7207.310,139869.000
