 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,8034.505,204.671,1644432.095,31912750.000
2,A-slice:0001-0465:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.108,606.340,10373.045,201305.000
3,A-slice:0002-0509:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,26.640,934.391,24892.629,483080.000
4,A-slice:0003-0520:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,26.537,875.755,23240.300,451014.000
5,A-slice:0004-0532:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,21.075,637.780,13441.443,260852.000
6,A-slice:0005-0532:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,27.259,717.361,19554.431,379484.000
7,A-slice:0006-0559:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,19.117,781.830,14946.450,290059.000
8,A-slice:0007-0599:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,30.041,734.226,22057.195,428054.000
9,A-slice:0008-0618:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.108,856.045,14644.903,284207.000
10,A-slice:0009-0645:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,44.624,680.248,30355.476,589095.000
11,A-slice:0010-0909:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.129,636.572,10266.999,199247.000
12,A-slice:0011-0918:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,24.734,673.260,16652.369,323165.000
13,A-slice:0012-0936:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,18.911,705.910,13349.567,259069.000
14,A-slice:0013-0976:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,20.199,607.990,12281.010,238332.000
