 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,6003.695,177.343,1064715.025,20662443.000
2,A-slice:0001-0551:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,32.051,1129.026,36186.446,702254.000
3,A-slice:0002-0571:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.232,699.048,11346.686,220200.000
4,A-slice:0003-0683:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,24.322,795.369,19344.708,375414.000
5,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,6003.695,47.714,286462.336,5559245.000
6,A-slice:0001-0551:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,32.051,81.876,2624.217,50927.000
7,A-slice:0002-0571:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.232,35.105,569.808,11058.000
8,A-slice:0003-0683:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,24.322,25.894,629.787,12222.000
9,A-slice:mNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,6003.695,63.314,380115.778,7376735.000
10,A-slice:0001-0551:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,32.051,105.711,3388.135,65752.000
11,A-slice:0002-0571:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.232,65.149,1057.478,20522.000
12,A-slice:0003-0683:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,24.322,40.267,979.360,19006.000
