 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:background:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec3,55.342,10.906,603.559,11713
2,A-slice:background:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec3,55.342,6.748,373.431,7247
3,A-slice:background:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec3,55.342,6.910,382.397,7421
