 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,4594.944,278.839,1281248.231,24864605.000
2,A-slice:0001-0804:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,13.140,996.984,13100.269,254231.000
3,A-slice:0002-0826:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,19.426,851.610,16543.746,321057.000
4,A-slice:0003-0895:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,15.304,829.657,12697.158,246408.000
5,A-slice:pNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,4594.944,76.868,353202.181,6854435.000
6,A-slice:0001-0804:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,13.140,751.894,9879.810,191733.000
7,A-slice:0002-0826:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,19.426,213.050,4138.809,80320.000
8,A-slice:0003-0895:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,15.304,111.054,1699.581,32983.000
9,A-slice:pNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,4594.944,139.549,641220.332,12443873.000
10,A-slice:0001-0804:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,13.140,787.333,10345.477,200770.000
11,A-slice:0002-0826:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,19.426,601.939,11693.527,226931.000
12,A-slice:0003-0895:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb7_8ss_sec1,15.304,54.128,828.380,16076.000
