 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,4466.173,123.876,553252.290,10736717
2,A-slice:0001-0762:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,46.273,490.104,22678.583,440113
3,A-slice:0002-0772:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,15.046,326.548,4913.393,95352
4,A-slice:0003-0783:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,30.196,368.821,11136.911,216129
5,A-slice:0004-0789:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,21.797,315.296,6872.423,133370
6,A-slice:0005-0807:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,38.595,375.117,14477.742,280963
7,A-slice:0006-0909:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,27.929,305.810,8540.880,165749
8,A-slice:pNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,4466.173,38.325,171167.744,3321775
9,A-slice:0001-0762:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,46.273,63.037,2916.902,56607
10,A-slice:0002-0772:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,15.046,119.966,1805.061,35030
11,A-slice:0003-0783:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,30.196,40.312,1217.270,23623
12,A-slice:0004-0789:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,21.797,48.766,1062.940,20628
13,A-slice:0005-0807:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,38.595,27.527,1062.425,20618
14,A-slice:0006-0909:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,27.929,46.703,1304.354,25313
15,A-slice:pNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,4466.173,96.497,430972.582,8363690
16,A-slice:0001-0762:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,46.273,52.702,2438.661,47326
17,A-slice:0002-0772:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,15.046,92.901,1397.827,27127
18,A-slice:0003-0783:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,30.196,838.766,25327.379,491517
19,A-slice:0004-0789:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,21.797,107.643,2346.270,45533
20,A-slice:0005-0807:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,38.595,708.538,27346.183,530695
21,A-slice:0006-0909:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb4_7ss_sec5,27.929,204.565,5713.226,110874
