 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,7853.020,120.214,944042.352,18320603.000
2,A-slice:0001-0605:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,30.299,510.002,15452.568,299881.000
3,A-slice:0002-0638:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,15.768,543.392,8568.139,166278.000
4,A-slice:0003-0641:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.056,578.045,9859.198,191333.000
5,A-slice:0004-0639:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,19.581,566.863,11099.759,215408.000
6,A-slice:0005-0655:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,20.354,547.641,11146.650,216318.000
7,A-slice:0006-0713:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.180,476.236,7705.544,149538.000
8,A-slice:0007-0727:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,15.871,537.078,8523.927,165420.000
9,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,7853.020,37.770,296606.438,5756107.000
10,A-slice:0001-0605:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,30.299,77.665,2353.175,45667.000
11,A-slice:0002-0638:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,15.768,102.660,1618.732,31414.000
12,A-slice:0003-0641:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.056,62.326,1063.043,20630.000
13,A-slice:0004-0639:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,19.581,35.287,690.952,13409.000
14,A-slice:0005-0655:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,20.354,53.532,1089.581,21145.000
15,A-slice:0006-0713:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.180,28.350,458.711,8902.000
16,A-slice:0007-0727:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,15.871,38.701,614.226,11920.000
17,A-slice:mNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,7853.020,44.508,349518.527,6782948.000
18,A-slice:0001-0605:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,30.299,32.498,984.668,19109.000
19,A-slice:0002-0638:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,15.768,45.791,722.024,14012.000
20,A-slice:0003-0641:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.056,248.269,4234.499,82177.000
21,A-slice:0004-0639:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,19.581,45.495,890.833,17288.000
22,A-slice:0005-0655:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,20.354,239.175,4868.151,94474.000
23,A-slice:0006-0713:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.180,29.258,473.397,9187.000
24,A-slice:0007-0727:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,15.871,34.766,551.773,10708.000
