 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,12563.749,193.174,2426987.044,47099440.000
2,A-slice:0001-0840:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,26.692,701.959,18736.717,363615.000
3,A-slice:0002-0855:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,34.834,642.321,22374.356,434209.000
4,A-slice:0003-0868:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,65.133,714.373,46529.038,902968.000
5,A-slice:0004-0861:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,46.067,730.341,33644.572,652925.000
6,A-slice:0005-0860:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,32.412,633.984,20548.529,398776.000
7,A-slice:0006-0882:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,39.626,596.819,23649.441,458954.000
8,A-slice:0007-0897:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,75.748,668.388,50628.788,982530.000
9,A-slice:0008-0905:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,34.215,622.605,21302.604,413410.000
10,A-slice:0009-0910:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,48.283,681.712,32914.870,638764.000
11,A-slice:0010-0918:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,44.676,608.957,27205.560,527966.000
12,A-slice:0011-0921:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,17.881,486.974,8707.370,168980.000
13,A-slice:0012-0924:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,29.217,579.817,16940.468,328756.000
14,A-slice:0013-0929:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,20.715,565.744,11719.189,227429.000
15,A-slice:0014-0931:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,16.283,527.826,8594.676,166793.000
16,A-slice:0015-0938:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,16.283,506.025,8239.693,159904.000
17,A-slice:0016-0942:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,47.922,909.667,43593.019,845990.000
18,A-slice:0017-0948:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,26.847,525.735,14114.205,273908.000
19,A-slice:0018-0951:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,31.020,498.895,15475.962,300335.000
20,A-slice:0019-0953:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,24.579,642.468,15791.423,306457.000
21,A-slice:0020-0968:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,60.031,566.947,34034.544,660493.000
22,A-slice:0021-0973:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,66.679,627.456,41837.838,811928.000
23,A-slice:0022-0984:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,29.320,605.462,17752.153,344508.000
24,A-slice:0023-1168:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,70.131,766.683,53768.244,1043456.000
25,A-slice:0024-1162:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,39.265,693.717,27238.848,528612.000
26,A-slice:0025-1180:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,24.116,781.145,18837.766,365576.000
27,A-slice:0026-1192:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,45.346,537.455,24371.156,472960.000
28,A-slice:0027-1192:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,37.307,667.831,24914.787,483510.000
29,A-slice:0028-1203:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,83.632,1193.553,99818.732,1937137.000
30,A-slice:0029-1196:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,19.633,622.331,12217.938,237108.000
31,A-slice:0030-1205:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,41.069,969.822,39829.237,772948.000
32,A-slice:0031-1208:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,63.947,776.886,49679.933,964116.000
33,A-slice:0032-1209:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,33.803,603.363,20395.487,395806.000
34,A-slice:0033-1225:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,53.693,832.340,44690.999,867298.000
35,A-slice:0034-1217:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,33.082,868.827,28742.206,557787.000
36,A-slice:0035-1226:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,16.592,931.854,15461.637,300057.000
37,A-slice:0036-1237:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,58.743,805.490,47316.968,918259.000
38,A-slice:0037-1230:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,28.032,616.912,17293.132,335600.000
39,A-slice:0038-1244:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,43.130,704.895,30401.955,589997.000
40,A-slice:0039-1247:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,44.573,1271.218,56661.495,1099604.000
41,A-slice:0040-1249:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,40.193,975.187,39195.328,760646.000
42,A-slice:0041-1253:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,33.597,593.436,19937.601,386920.000
43,A-slice:0042-1257:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,35.967,1101.155,39605.499,768606.000
44,A-slice:0043-1270:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,22.879,790.455,18084.721,350962.000
45,A-slice:0044-1275:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,15.716,552.184,8678.308,168416.000
46,A-slice:0045-1281:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,28.392,1231.976,34978.864,678819.000
47,A-slice:0046-1284:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,41.378,822.427,34030.215,660409.000
48,A-slice:0047-1305:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,104.243,732.967,76406.840,1482793.000
49,A-slice:pNC:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,12563.749,77.984,979775.189,19014054.000
50,A-slice:0001-0840:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,26.692,68.832,1837.266,35655.000
51,A-slice:0002-0855:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,34.834,51.126,1780.894,34561.000
52,A-slice:0003-0868:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,65.133,97.140,6326.988,122785.000
53,A-slice:0004-0861:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,46.067,54.120,2493.128,48383.000
54,A-slice:0005-0860:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,32.412,137.140,4444.943,86261.000
55,A-slice:0006-0882:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,39.626,108.870,4314.059,83721.000
56,A-slice:0007-0897:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,75.748,231.132,17507.699,339764.000
57,A-slice:0008-0905:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,34.215,57.973,1983.557,38494.000
58,A-slice:0009-0910:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,48.283,72.495,3500.262,67928.000
59,A-slice:0010-0918:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,44.676,143.638,6417.112,124534.000
60,A-slice:0011-0921:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,17.881,203.340,3635.835,70559.000
61,A-slice:0012-0924:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,29.217,159.924,4672.495,90677.000
62,A-slice:0013-0929:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,20.715,64.823,1342.794,26059.000
63,A-slice:0014-0931:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,16.283,35.342,575.476,11168.000
64,A-slice:0015-0938:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,16.283,242.225,3944.184,76543.000
65,A-slice:0016-0942:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,47.922,335.213,16064.063,311748.000
66,A-slice:0017-0948:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,26.847,77.000,2067.189,40117.000
67,A-slice:0018-0951:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,31.020,162.560,5042.679,97861.000
68,A-slice:0019-0953:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,24.579,133.591,3283.582,63723.000
69,A-slice:0020-0968:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,60.031,102.136,6131.333,118988.000
70,A-slice:0021-0973:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,66.679,127.013,8469.049,164355.000
71,A-slice:0022-0984:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,29.320,224.694,6588.034,127851.000
72,A-slice:0023-1168:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,70.131,105.823,7421.464,144025.000
73,A-slice:0024-1162:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,39.265,115.559,4537.438,88056.000
74,A-slice:0025-1180:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,24.116,178.579,4306.536,83575.000
75,A-slice:0026-1192:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,45.346,79.642,3611.410,70085.000
76,A-slice:0027-1192:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,37.307,199.477,7441.870,144421.000
77,A-slice:0028-1203:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,83.632,235.803,19720.612,382709.000
78,A-slice:0029-1196:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,19.633,55.304,1085.768,21071.000
79,A-slice:0030-1205:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,41.069,174.632,7171.909,139182.000
80,A-slice:0031-1208:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,63.947,96.702,6183.841,120007.000
81,A-slice:0032-1209:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,33.803,60.909,2058.893,39956.000
82,A-slice:0033-1225:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,53.693,83.930,4506.469,87455.000
83,A-slice:0034-1217:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,33.082,45.945,1519.951,29497.000
84,A-slice:0035-1226:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,16.592,177.627,2947.253,57196.000
85,A-slice:0036-1237:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,58.743,195.500,11484.268,222870.000
86,A-slice:0037-1230:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,28.032,69.585,1950.579,37854.000
87,A-slice:0038-1244:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,43.130,117.700,5076.379,98515.000
88,A-slice:0039-1247:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,44.573,102.023,4547.434,88250.000
89,A-slice:0040-1249:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,40.193,133.205,5353.863,103900.000
90,A-slice:0041-1253:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,33.597,41.382,1390.304,26981.000
91,A-slice:0042-1257:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,35.967,45.653,1642.023,31866.000
92,A-slice:0043-1270:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,22.879,487.741,11158.966,216557.000
93,A-slice:0044-1275:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,15.716,81.420,1279.620,24833.000
94,A-slice:0045-1281:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,28.392,81.379,2310.560,44840.000
95,A-slice:0046-1284:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,41.378,66.780,2763.191,53624.000
96,A-slice:0047-1305:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,104.243,173.059,18040.251,350099.000
97,A-slice:pNC:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,12563.749,97.599,1226206.757,23796440.000
98,A-slice:0001-0840:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,26.692,92.485,2468.600,47907.000
99,A-slice:0002-0855:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,34.834,32.700,1139.049,22105.000
100,A-slice:0003-0868:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,65.133,345.379,22495.449,436559.000
101,A-slice:0004-0861:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,46.067,316.413,14576.163,282873.000
102,A-slice:0005-0860:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,32.412,476.727,15451.537,299861.000
103,A-slice:0006-0882:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_3ss_sec4,39.626,531.554,21063.252,408765.000
