 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,3830.511,231.961,888529.954,17243299.000
2,A-slice:0001-0414:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,33.288,579.166,19279.112,374141.000
3,A-slice:0002-0417:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,22.415,520.572,11668.691,226449.000
4,A-slice:0003-0441:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,16.541,749.346,12394.786,240540.000
5,A-slice:0004-0446:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,38.750,468.855,18168.043,352579.000
6,A-slice:0005-0474:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,20.096,748.246,15036.987,291816.000
7,A-slice:0006-0486:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,21.385,507.863,10860.407,210763.000
8,A-slice:0007-0503:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,15.407,524.217,8076.707,156741.000
9,A-slice:0008-0575:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,22.673,539.566,12233.448,237409.000
10,A-slice:0009-0582:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,28.702,663.544,19044.809,369594.000
11,A-slice:0010-0640:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,23.961,699.778,16767.382,325397.000
12,A-slice:0011-0687:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,25.043,560.305,14031.759,272308.000
13,A-slice:pNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,3830.511,66.184,253520.207,4919952.000
14,A-slice:0001-0414:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,33.288,184.661,6146.946,119291.000
15,A-slice:0002-0417:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,22.415,114.147,2558.621,49654.000
16,A-slice:0003-0441:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,16.541,101.305,1675.672,32519.000
17,A-slice:0004-0446:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,38.750,53.265,2063.994,40055.000
18,A-slice:0005-0474:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,20.096,64.062,1287.401,24984.000
19,A-slice:0006-0486:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,21.385,66.320,1418.233,27523.000
20,A-slice:0007-0503:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,15.407,127.064,1957.690,37992.000
21,A-slice:0008-0575:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,22.673,149.805,3396.483,65914.000
22,A-slice:0009-0582:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,28.702,29.598,849.507,16486.000
23,A-slice:0010-0640:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,23.961,19.561,468.708,9096.000
24,A-slice:0011-0687:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,25.043,24.765,620.203,12036.000
25,A-slice:pNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,3830.511,56.627,216909.264,4209460.000
26,A-slice:0001-0414:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,33.288,497.279,16553.279,321242.000
27,A-slice:0002-0417:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,22.415,239.292,5363.757,104092.000
28,A-slice:0003-0441:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,16.541,189.620,3136.467,60868.000
29,A-slice:0004-0446:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,38.750,90.802,3518.555,68283.000
30,A-slice:0005-0474:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,20.096,38.021,764.072,14828.000
31,A-slice:0006-0486:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,21.385,45.453,971.992,18863.000
32,A-slice:0007-0503:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,15.407,313.726,4833.626,93804.000
33,A-slice:0008-0575:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,22.673,42.236,957.615,18584.000
34,A-slice:0009-0582:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,28.702,29.873,857.391,16639.000
35,A-slice:0010-0640:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,23.961,26.535,635.816,12339.000
36,A-slice:0011-0687:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec1,25.043,31.451,787.621,15285.000
