 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,3449.300,246.206,849238.061,16480779.000
2,A-slice:0001-0369:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,16.489,508.625,8386.860,162760.000
3,A-slice:0002-0374:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,32.103,538.172,17276.695,335281.000
4,A-slice:0003-0372:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,24.889,688.174,17127.621,332388.000
5,A-slice:0004-0376:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,19.014,620.889,11805.706,229108.000
6,A-slice:0005-0383:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,24.167,916.226,22142.527,429710.000
7,A-slice:0006-0397:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,70.955,559.994,39734.630,771112.000
8,A-slice:0007-0390:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,33.700,837.613,28227.535,547799.000
9,A-slice:0008-0412:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,41.584,790.351,32865.866,637813.000
10,A-slice:0009-0421:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,25.507,587.968,14997.206,291044.000
11,A-slice:0010-0426:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,21.797,621.324,13542.852,262820.000
12,A-slice:0011-0437:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,43.542,760.976,33134.435,643025.000
13,A-slice:0012-0445:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,11.955,522.823,6250.210,121295.000
14,A-slice:0013-0470:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,23.909,781.444,18683.900,362590.000
15,A-slice:0014-0500:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,93.216,606.402,56526.385,1096982.000
16,A-slice:0015-0504:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,25.558,544.897,13926.691,270269.000
17,A-slice:0016-0531:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,60.547,603.197,36521.488,708756.000
18,A-slice:0017-0525:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,18.499,534.189,9881.922,191774.000
19,A-slice:0018-0560:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb5_7ss_sec3,21.642,607.438,13146.285,255124.000
