 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,967.869,304.953,295154.505,5727930.000
2,A-slice:0001-0709:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,89.042,568.105,50585.298,981686.000
3,A-slice:0002-0729:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,19.633,476.958,9363.901,181721.000
4,A-slice:0003-0766:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,15.665,466.566,7308.667,141836.000
5,A-slice:0004-0830:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,17.159,528.330,9065.703,175934.000
6,A-slice:0005-0850:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,23.033,574.130,13224.196,256636.000
7,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,967.869,199.143,192744.637,3740508.000
8,A-slice:0001-0709:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,89.042,123.468,10993.867,213353.000
9,A-slice:0002-0729:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,19.633,182.782,3588.480,69640.000
10,A-slice:0003-0766:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,15.665,71.049,1112.975,21599.000
11,A-slice:0004-0830:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,17.159,769.105,13197.195,256112.000
12,A-slice:0005-0850:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,23.033,73.416,1691.027,32817.000
13,A-slice:mNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,967.869,285.898,276711.864,5370022.000
14,A-slice:0001-0709:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,89.042,253.830,22601.598,438619.000
15,A-slice:0002-0729:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,19.633,1152.963,22635.608,439279.000
16,A-slice:0003-0766:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,15.665,238.059,3729.154,72370.000
17,A-slice:0004-0830:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,17.159,1287.571,22093.626,428761.000
18,A-slice:0005-0850:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec5,23.033,347.219,7997.662,155207.000
