 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,2342.457,115.964,271640.637,5271607.000
2,A-slice:0001-0797:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,15.613,244.155,3812.064,73979.000
3,A-slice:0002-0823:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,17.211,373.338,6425.409,124695.000
4,A-slice:0003-0829:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,15.768,301.199,4749.273,92167.000
5,A-slice:0004-0846:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,25.095,290.910,7300.268,141673.000
6,A-slice:0005-0850:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,16.902,284.774,4813.118,93406.000
7,A-slice:0006-0851:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,19.066,229.605,4377.595,84954.000
8,A-slice:0007-0864:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,55.754,299.761,16712.967,324341.000
9,A-slice:0008-0865:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,33.185,300.854,9983.744,193750.000
10,A-slice:0009-0871:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,16.695,295.228,4928.955,95654.000
11,A-slice:0010-0895:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,23.652,293.292,6936.886,134621.000
12,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,2342.457,45.445,106453.143,2065888.000
13,A-slice:0001-0797:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,15.613,47.653,744.027,14439.000
14,A-slice:0002-0823:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,17.211,29.138,501.480,9732.000
15,A-slice:0003-0829:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,15.768,24.337,383.736,7447.000
16,A-slice:0004-0846:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,25.095,27.877,699.558,13576.000
17,A-slice:0005-0850:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,16.902,37.277,630.045,12227.000
18,A-slice:0006-0851:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_8ss_sec3,19.066,22.116,421.662,8183.000
