 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,8030.022,242.458,1946941.901,37783421.000
2,A-slice:0001-0739:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,17.571,568.481,9989.000,193852.000
3,A-slice:0002-0741:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,16.180,561.010,9077.194,176157.000
4,A-slice:0003-0769:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,24.219,601.151,14559.055,282541.000
5,A-slice:0004-0791:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,36.534,614.567,22452.628,435728.000
6,A-slice:0005-0785:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,20.199,612.385,12369.794,240055.000
7,A-slice:0006-0808:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,25.352,646.955,16401.784,318302.000
8,A-slice:0007-0810:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,28.702,618.923,17764.107,344740.000
9,A-slice:0008-0807:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,33.339,795.414,26518.524,514633.000
10,A-slice:0009-0812:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,57.043,647.220,36919.086,716472.000
11,A-slice:0010-0816:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,39.471,709.266,27995.603,543298.000
12,A-slice:0011-0808:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,15.819,608.824,9631.234,186909.000
13,A-slice:0012-0826:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,15.304,551.269,8436.689,163727.000
14,A-slice:0013-0826:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,16.541,527.963,8732.929,169476.000
15,A-slice:0014-0827:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,18.602,504.548,9385.595,182142.000
16,A-slice:0015-0837:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,19.736,540.653,10670.110,207070.000
17,A-slice:0016-0848:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,33.288,813.059,27064.886,525236.000
18,A-slice:0017-0845:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,21.694,549.292,11916.184,231252.000
19,A-slice:0018-0847:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,20.199,619.474,12512.993,242834.000
20,A-slice:0019-0863:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,45.449,748.095,33999.865,659820.000
21,A-slice:0020-0862:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,16.283,540.968,8808.676,170946.000
22,A-slice:0021-0873:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,22.106,634.156,14018.619,272053.000
23,A-slice:0022-0903:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,36.122,945.295,34145.795,662652.000
24,A-slice:0023-0907:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,17.417,613.027,10676.963,207203.000
25,A-slice:0024-0929:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,21.591,682.131,14727.658,285813.000
26,A-slice:0025-0935:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,19.581,744.500,14578.069,282910.000
27,A-slice:0026-0958:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,13.913,591.193,8225.162,159622.000
28,A-slice:0027-1008:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,31.227,588.030,18362.153,356346.000
29,A-slice:0028-1018:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,17.365,516.021,8960.842,173899.000
30,A-slice:0029-1035:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,28.135,622.143,17503.886,339690.000
31,A-slice:0030-1057:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,26.950,502.048,13530.021,262571.000
32,A-slice:0031-1115:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,41.017,643.085,26377.489,511896.000
33,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,8030.022,84.908,681814.826,13231672.000
34,A-slice:0001-0739:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec2,17.571,105.328,1850.767,35917.000
