 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,2446.494,209.610,512808.879,9951850.000
2,A-slice:0001-1885:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,20.612,615.675,12690.047,246270.000
3,A-slice:0002-1909:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,30.814,614.493,18935.207,367467.000
4,A-slice:pNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,2446.494,54.491,133312.376,2587133.000
5,A-slice:0001-1885:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,20.612,143.840,2964.773,57536.000
6,A-slice:0002-1909:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,30.814,132.557,4084.652,79269.000
7,A-slice:pNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,2446.494,49.297,120605.222,2340531.000
8,A-slice:0001-1885:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,20.612,76.858,1584.156,30743.000
9,A-slice:0002-1909:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,30.814,35.269,1086.798,21091.000
