 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,4286.698,254.939,1092847.953,21208406.000
2,A-slice:0001-1640:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,17.468,570.342,9962.926,193346.000
3,A-slice:0002-1661:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,21.591,583.134,12590.235,244333.000
4,A-slice:0003-1663:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,15.150,552.721,8373.462,162500.000
5,A-slice:0004-1665:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,20.457,613.710,12554.680,243643.000
6,A-slice:0005-1710:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,57.609,788.077,45400.656,881070.000
7,A-slice:0006-1731:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,98.678,672.797,66390.324,1288407.000
8,A-slice:0007-1735:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,36.740,676.053,24838.318,482026.000
9,A-slice:0008-1739:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,23.909,625.933,14965.722,290433.000
10,A-slice:0009-1749:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,17.056,603.713,10296.989,199829.000
11,A-slice:0010-1774:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,19.890,602.280,11979.462,232480.000
12,A-slice:pNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,4286.698,90.053,386030.431,7491518.000
13,A-slice:0001-1640:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,17.468,63.351,1106.637,21476.000
14,A-slice:0002-1661:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,21.591,47.124,1017.440,19745.000
15,A-slice:0003-1663:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,15.150,61.660,934.118,18128.000
16,A-slice:0004-1665:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,20.457,34.970,715.377,13883.000
17,A-slice:0005-1710:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,57.609,112.802,6498.477,126113.000
18,A-slice:0006-1731:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,98.678,100.063,9873.987,191620.000
19,A-slice:0007-1735:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,36.740,328.299,12061.754,234077.000
20,A-slice:0008-1739:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,23.909,230.078,5501.030,106756.000
21,A-slice:0009-1749:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,17.056,178.085,3037.428,58946.000
22,A-slice:0010-1774:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,19.890,302.459,6015.959,116749.000
23,A-slice:pNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,4286.698,140.337,601582.164,11674633.000
24,A-slice:0001-1640:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,17.468,301.740,5270.901,102290.000
25,A-slice:0002-1661:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,21.591,348.933,7533.694,146203.000
26,A-slice:0003-1663:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_9ss_sec,15.150,479.762,7268.165,141050.000
