 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,5359.068,208.953,1119795.765,21731370.000
2,A-slice:0001-0747:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,45.191,711.408,32149.201,623905.000
3,A-slice:0002-0748:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,29.475,564.556,16640.054,322926.000
4,A-slice:0003-0769:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,17.314,553.664,9585.991,186031.000
5,A-slice:0004-0779:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,20.148,582.169,11729.443,227628.000
6,A-slice:0005-0798:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,24.631,614.324,15131.336,293647.000
7,A-slice:0006-0829:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,31.896,619.215,19750.757,383294.000
8,A-slice:0007-0829:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,25.352,958.978,24312.258,471817.000
9,A-slice:0008-0840:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,20.096,668.167,13427.684,260585.000
10,A-slice:0009-0857:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,19.169,646.508,12392.776,240501.000
11,A-slice:0010-1199:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,36.637,766.608,28086.294,545058.000
12,A-slice:mNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,5359.068,94.517,506523.783,9829878.000
13,A-slice:0001-0747:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,45.191,42.296,1911.417,37094.000
14,A-slice:0002-0748:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,29.475,326.722,9629.997,186885.000
15,A-slice:0003-0769:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,17.314,56.741,982.400,19065.000
16,A-slice:0004-0779:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,20.148,45.962,926.028,17971.000
17,A-slice:0005-0798:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,24.631,143.178,3526.593,68439.000
18,A-slice:0006-0829:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,31.896,65.359,2084.709,40457.000
19,A-slice:0007-0829:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,25.352,72.982,1850.252,35907.000
20,A-slice:0008-0840:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,20.096,68.118,1368.919,26566.000
21,A-slice:0009-0857:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,19.169,627.815,12034.443,233547.000
22,A-slice:0010-1199:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,36.637,61.609,2257.176,43804.000
23,A-slice:mNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,5359.068,90.239,483599.098,9384989.000
24,A-slice:0001-0747:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,45.191,121.764,5502.627,106787.000
25,A-slice:0002-0748:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,29.475,97.937,2886.655,56020.000
26,A-slice:0003-0769:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,17.314,27.512,476.334,9244.000
27,A-slice:0004-0779:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,20.148,154.069,3104.158,60241.000
28,A-slice:0005-0798:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,24.631,107.056,2636.894,51173.000
29,A-slice:0006-0829:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,31.896,32.691,1042.741,20236.000
30,A-slice:0007-0829:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,25.352,34.921,885.320,17181.000
31,A-slice:0008-0840:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_8ss_sec3,20.096,31.436,631.746,12260.000
