 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,2248.468,225.329,506645.134,9832233.000
2,A-slice:0001-0784:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,15.356,546.856,8397.320,162963.000
3,A-slice:0002-0812:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,23.394,621.522,14539.989,282171.000
4,A-slice:0003-0840:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,42.202,701.497,29604.750,574526.000
5,A-slice:pNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,2248.468,37.824,85045.574,1650441.000
6,A-slice:0001-0784:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,15.356,27.322,419.549,8142.000
7,A-slice:0002-0812:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,23.394,40.081,937.673,18197.000
8,A-slice:0003-0840:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,42.202,36.923,1558.237,30240.000
9,A-slice:pNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,2248.468,56.067,126065.235,2446491.000
10,A-slice:0001-0784:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,15.356,82.946,1273.694,24718.000
11,A-slice:0002-0812:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,23.394,164.048,3837.777,74478.000
12,A-slice:0003-0840:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb8_8ss_sec1,42.202,164.068,6924.055,134372.000
