 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,7654.684,150.133,1149222.791,22302447.000
2,A-slice:0001-0186:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,33.339,719.311,23981.287,465394.000
3,A-slice:0002-0209:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,49.880,745.160,37168.641,721315.000
4,A-slice:0003-0205:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,24.992,608.095,15197.242,294926.000
5,A-slice:0004-0213:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,28.856,671.098,19365.371,375815.000
6,A-slice:0005-0224:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,32.566,700.109,22799.985,442469.000
7,A-slice:0006-0230:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,23.137,768.588,17782.452,345096.000
8,A-slice:0007-0240:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,29.165,718.148,20945.096,406472.000
9,A-slice:0008-0254:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,15.768,547.239,8628.789,167455.000
10,A-slice:0009-0262:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,16.747,566.997,9495.455,184274.000
11,A-slice:0010-0276:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,17.932,796.141,14276.470,277057.000
12,A-slice:pNC:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,7654.684,31.434,240619.921,4669602.000
13,A-slice:0001-0186:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,33.339,48.074,1602.758,31104.000
14,A-slice:0002-0209:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,49.880,59.991,2992.341,58071.000
15,A-slice:0003-0205:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,24.992,43.736,1093.033,21212.000
16,A-slice:0004-0213:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,28.856,30.102,868.624,16857.000
17,A-slice:0005-0224:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,32.566,50.519,1645.218,31928.000
18,A-slice:0006-0230:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,23.137,80.114,1853.550,35971.000
19,A-slice:0007-0240:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,29.165,151.708,4424.641,85867.000
20,A-slice:0008-0254:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,15.768,31.095,490.298,9515.000
21,A-slice:0009-0262:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,16.747,27.175,455.104,8832.000
22,A-slice:0010-0276:c:2/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,17.932,156.580,2807.815,54490.000
23,A-slice:pNC:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,7654.684,40.550,310397.865,6023751.000
24,A-slice:0001-0186:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,33.339,73.974,2466.229,47861.000
25,A-slice:0002-0209:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,49.880,28.114,1402.310,27214.000
26,A-slice:0003-0205:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,24.992,29.002,724.807,14066.000
27,A-slice:0004-0213:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,28.856,39.223,1131.834,21965.000
28,A-slice:0005-0224:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,32.566,66.638,2170.144,42115.000
29,A-slice:0006-0230:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,23.137,42.459,982.349,19064.000
30,A-slice:0007-0240:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,29.165,841.477,24542.026,476276.000
31,A-slice:0008-0254:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,15.768,41.670,657.046,12751.000
32,A-slice:0009-0262:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,16.747,28.489,477.107,9259.000
33,A-slice:0010-0276:c:3/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb10_10ss_se,17.932,55.112,988.275,19179.000
