 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,3950.007,182.063,719150.421,13956227
2,A-slice:0001-0637:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.232,594.562,9650.712,187287
3,A-slice:0002-0644:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,19.066,706.522,13470.350,261413
4,A-slice:0003-0681:c:1/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.314,577.780,10003.531,194134
5,A-slice:pNC:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,3950.007,26.412,104325.871,2024605
6,A-slice:0001-0637:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.232,77.089,1251.279,24283
7,A-slice:0002-0644:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,19.066,19.538,372.503,7229
8,A-slice:0003-0681:c:2/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.314,43.717,756.909,14689
9,A-slice:pNC:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,3950.007,34.312,135531.937,2630207
10,A-slice:0001-0637:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,16.232,68.111,1105.555,21455
11,A-slice:0002-0644:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,19.066,26.908,513.023,9956
12,A-slice:0003-0681:c:3/4 - 20210210_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb12_9ss_sec,17.314,29.312,507.509,9849
