,ROI,Count,Image,ExptDate,Treatment,Stains,Embryo,Somites,Section,Channel,EmbID
1,Expt,13,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSox9Pax7_Emb1_6ss_sec2_Sox9,20181125,pCAGdnBMPR1A,NC11m3eGFPSox9Pax7,Emb1,6ss,sec2,Sox9,20181125_Emb1_Sox9
0,Cntl,13,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSox9Pax7_Emb2_6ss_sec4_Sox9,20181125,pCAGdnBMPR1A,NC11m3eGFPSox9Pax7,Emb2,6ss,sec4,Sox9,20181125_Emb2_Sox9
1,Expt,19,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSox9Pax7_Emb2_6ss_sec4_Sox9,20181125,pCAGdnBMPR1A,NC11m3eGFPSox9Pax7,Emb2,6ss,sec4,Sox9,20181125_Emb2_Sox9
0,Cntl,32,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb6_8ss_sec1_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb6,8ss,sec1,Snai2,20181125_Emb6_Snai2
1,Expt,31,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb6_8ss_sec1_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb6,8ss,sec1,Snai2,20181125_Emb6_Snai2
0,Cntl,14,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb2_6ss_sec2_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb2,6ss,sec2,Snai2,20181125_Emb2_Snai2
1,Expt,18,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb2_6ss_sec2_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb2,6ss,sec2,Snai2,20181125_Emb2_Snai2
0,Cntl,51,20210512_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb1_8ss_sec3_Sox9,20210512,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb1,8ss,sec3,Sox9,20210512_Emb1_Sox9
1,Expt,29,20210512_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb1_8ss_sec3_Sox9,20210512,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb1,8ss,sec3,Sox9,20210512_Emb1_Sox9
0,Cntl,45,20210512_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb1_8ss_sec2_Sox9,20210512,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb1,8ss,sec2,Sox9,20210512_Emb1_Sox9
