Gene_ID	Ctrl_rep1	Ctrl_rep2	dnBMPR1A_rep1	dnBMPR1A_rep2
ENSGALG00000014410	2057	2614	1992	1725
ENSGALG00000014412	19	33	12	27
ENSGALG00000014413	2479	2715	2607	2876
ENSGALG00000007378	2209	2278	2074	2212
ENSGALG00000014426	461	944	895	1155
ENSGALG00000013999	20	39	36	33
ENSGALG00000014428	0	0	1	1
ENSGALG00000030226	0	0	0	1
ENSGALG00000040424	120	158	63	62
ENSGALG00000049853	286	186	268	199
ENSGALG00000014435	3082	2855	2748	2855
ENSGALG00000039448	1692	2508	1912	2658
ENSGALG00000025653	0	0	0	1
ENSGALG00000028638	13	20	18	5
ENSGALG00000014442	384314	389321	462165	557934
ENSGALG00000014443	63	157	102	94
ENSGALG00000037807	7154	9126	7069	8452
ENSGALG00000050127	1857	1556	1196	1213
ENSGALG00000046776	213	238	244	250
ENSGALG00000025615	1	1	0	2
ENSGALG00000013565	407	448	558	691
ENSGALG00000014455	0	1	0	1
ENSGALG00000048620	0	0	0	1
ENSGALG00000054490	0	0	0	0
ENSGALG00000014457	3201	3330	3198	3248
ENSGALG00000032599	190	235	160	202
ENSGALG00000038075	16	4	4	1
ENSGALG00000014466	11	8	0	0
ENSGALG00000014467	1248	998	1036	1189
ENSGALG00000014468	23824	25295	19229	16649
ENSGALG00000053765	8318	8726	7069	6876
ENSGALG00000044449	0	0	0	0
ENSGALG00000014477	0	8	0	2
ENSGALG00000022926	508	697	444	463
ENSGALG00000014490	36	23	20	23
ENSGALG00000034438	24	29	3	29
ENSGALG00000014513	6484	5239	3047	3261
ENSGALG00000014525	592	773	558	583
ENSGALG00000014526	31519	29252	33931	40367
ENSGALG00000043468	11	7	19	12
ENSGALG00000014528	120	88	168	165
ENSGALG00000036852	0	0	2	0
ENSGALG00000014554	101	61	55	83
ENSGALG00000014555	6039	5603	5566	4705
ENSGALG00000014561	1	0	25	6
ENSGALG00000014567	15430	17838	15177	14807
ENSGALG00000014568	7852	8018	8136	7561
ENSGALG00000014570	3905	3842	4432	3541
ENSGALG00000014603	41	33	24	40
ENSGALG00000014659	588	673	599	597
ENSGALG00000014662	1192	1138	1353	1320
ENSGALG00000014674	67	55	69	62
ENSGALG00000014680	247	657	437	425
ENSGALG00000014683	229	292	241	246
ENSGALG00000014685	1	0	0	0
ENSGALG00000014687	98	274	152	191
ENSGALG00000014688	2922	3779	3017	4673
ENSGALG00000054780	1	10	15	6
ENSGALG00000014689	8	19	34	31
ENSGALG00000014695	9	53	8	51
ENSGALG00000014698	913	854	1408	1094
ENSGALG00000052144	1	46	66	2
ENSGALG00000014701	460	430	442	510
ENSGALG00000014708	2643	3109	2481	2384
ENSGALG00000051033	32	15	47	20
ENSGALG00000051102	0	0	0	0
ENSGALG00000030506	0	0	0	1
ENSGALG00000049912	5	12	9	17
ENSGALG00000052801	3	3	5	3
ENSGALG00000050197	0	0	4	11
ENSGALG00000014736	1	1	0	0
ENSGALG00000014746	0	4	0	0
ENSGALG00000051473	121	123	120	129
ENSGALG00000014749	801	1099	1246	1223
ENSGALG00000050973	1	0	0	1
ENSGALG00000014750	13	18	32	23
ENSGALG00000014754	0	2	0	4
ENSGALG00000032796	0	1	0	0
ENSGALG00000054992	0	0	0	0
ENSGALG00000050399	0	1	0	0
ENSGALG00000051751	0	0	0	1
ENSGALG00000054335	0	2	1	0
ENSGALG00000046716	0	0	0	1
ENSGALG00000054324	0	1	0	0
ENSGALG00000047647	0	2	3	1
ENSGALG00000050594	0	2	2	1
ENSGALG00000048265	1	3	1	1
ENSGALG00000052959	1	3	0	2
ENSGALG00000051553	26	16	9	12
ENSGALG00000031890	1228	1759	757	1092
ENSGALG00000042936	6	14	5	16
ENSGALG00000014759	0	50	28	27
ENSGALG00000014723	558	531	279	346
ENSGALG00000034698	0	0	0	0
ENSGALG00000014722	0	0	0	0
ENSGALG00000052309	2	0	1	0
ENSGALG00000049079	4	12	9	16
ENSGALG00000039529	1	0	0	0
ENSGALG00000052006	9	7	5	12
ENSGALG00000049696	0	1	0	2
ENSGALG00000050866	11	1	14	5
ENSGALG00000014766	0	0	0	0
ENSGALG00000014772	105	121	191	164
ENSGALG00000048810	0	0	0	2
ENSGALG00000014776	0	0	0	0
ENSGALG00000053805	1	0	0	1
ENSGALG00000048628	0	0	0	0
ENSGALG00000031400	0	0	0	2
ENSGALG00000035228	11	29	11	10
ENSGALG00000043190	38	14	9	10
ENSGALG00000014791	3081	3207	2631	3454
ENSGALG00000014794	1930	1813	1684	1425
ENSGALG00000014453	0	37	93	60
ENSGALG00000007084	726	823	581	483
ENSGALG00000014800	4319	5926	5419	7739
ENSGALG00000033889	2773	2801	2646	3086
ENSGALG00000053172	1	7	2	2
ENSGALG00000031560	78	85	117	128
ENSGALG00000014812	6	16	21	11
ENSGALG00000045606	1242	1433	1497	1912
ENSGALG00000052660	0	0	0	0
ENSGALG00000050620	0	0	1	0
ENSGALG00000049892	0	0	0	0
ENSGALG00000052278	0	0	2	0
ENSGALG00000014818	158	198	44	95
ENSGALG00000014820	2	0	6	5
ENSGALG00000032036	268	722	351	594
ENSGALG00000039461	887	1318	904	1128
ENSGALG00000014901	2112	2275	1904	2154
ENSGALG00000014924	74	175	125	92
ENSGALG00000032361	34	12	19	10
ENSGALG00000051886	0	0	0	0
ENSGALG00000049057	0	0	0	0
ENSGALG00000048594	0	1	0	0
ENSGALG00000042320	799	596	677	853
ENSGALG00000014949	1908	2874	2805	2701
ENSGALG00000014966	0	2	0	0
ENSGALG00000027688	6948	6302	7423	6648
ENSGALG00000014970	1927	1840	1191	1632
ENSGALG00000033186	0	3	1	6
ENSGALG00000026996	0	0	0	0
ENSGALG00000014973	1	1	3	1
ENSGALG00000014977	711	644	492	507
ENSGALG00000050404	0	8	11	10
ENSGALG00000014980	53	61	72	81
ENSGALG00000014981	1066	759	973	1040
ENSGALG00000014988	32	24	26	21
ENSGALG00000014997	1	1	9	1
ENSGALG00000053632	0	0	0	2
ENSGALG00000032247	13233	16431	15578	16948
ENSGALG00000015006	0	7	0	0
ENSGALG00000015016	0	13	32	31
ENSGALG00000033432	0	0	1	9
ENSGALG00000015018	46	58	48	72
ENSGALG00000015025	52	125	139	103
ENSGALG00000015038	155	261	167	175
ENSGALG00000015059	160	137	134	213
ENSGALG00000015073	1082	1144	791	1238
ENSGALG00000015069	1697	2014	1925	2441
ENSGALG00000022891	4268	3717	2579	3409
ENSGALG00000015075	358	617	225	423
ENSGALG00000048388	0	9	2	16
ENSGALG00000015077	59	194	75	112
ENSGALG00000026358	0	0	0	1
ENSGALG00000015079	146	1442	95	62
ENSGALG00000019240	15	22	18	21
ENSGALG00000015084	22	31	8	23
ENSGALG00000051879	0	0	0	0
ENSGALG00000052522	5	6	4	4
ENSGALG00000040620	206	403	295	534
ENSGALG00000047435	1	0	0	11
ENSGALG00000028743	0	0	0	0
ENSGALG00000049637	0	0	0	0
ENSGALG00000048000	1	2	1	1
ENSGALG00000015089	101	84	108	89
ENSGALG00000049074	0	0	0	0
ENSGALG00000054748	0	0	0	0
ENSGALG00000052956	0	0	0	0
ENSGALG00000051369	0	0	0	0
ENSGALG00000054115	0	2	1	0
ENSGALG00000015094	0	26	5	46
ENSGALG00000015117	0	1	4	10
ENSGALG00000037485	1857	1447	1119	1508
ENSGALG00000053464	161	259	223	203
ENSGALG00000015123	48	26	23	32
ENSGALG00000035629	239	638	350	408
ENSGALG00000046548	24	2	7	10
ENSGALG00000019233	4	17	29	4
ENSGALG00000046702	1	1	0	1
ENSGALG00000050659	0	0	0	1
ENSGALG00000049761	3	3	1	0
ENSGALG00000039538	3183	3596	3376	3083
ENSGALG00000015133	0	0	0	1
ENSGALG00000015134	0	0	0	0
ENSGALG00000015136	72	104	101	58
ENSGALG00000042577	89	36	39	80
ENSGALG00000054317	138	41	78	99
ENSGALG00000015152	359	287	355	463
ENSGALG00000015172	17	3	4	8
ENSGALG00000015182	789	690	570	533
ENSGALG00000015185	7358	6669	5809	5065
ENSGALG00000015190	753	1142	830	832
ENSGALG00000015191	0	6	2	4
ENSGALG00000019231	34	103	21	56
ENSGALG00000015193	406	407	372	443
ENSGALG00000015197	468	436	305	523
ENSGALG00000015204	2559	2375	1704	1722
ENSGALG00000029298	34	65	65	100
ENSGALG00000015218	24	45	52	80
ENSGALG00000015221	92	85	101	63
ENSGALG00000015225	5095	4698	4573	3859
ENSGALG00000015230	1102	1026	1165	957
ENSGALG00000015233	1649	1788	1799	1165
ENSGALG00000048080	0	0	0	0
ENSGALG00000025385	0	0	0	0
ENSGALG00000039376	0	0	2	0
ENSGALG00000015235	1	0	0	0
ENSGALG00000050044	1	0	1	0
ENSGALG00000015244	14	9	1	4
ENSGALG00000019228	82	160	133	131
ENSGALG00000015246	8393	8792	7596	7918
ENSGALG00000015247	250	825	572	626
ENSGALG00000015249	508	755	788	984
ENSGALG00000047209	164	195	151	191
ENSGALG00000015240	75	122	102	98
ENSGALG00000050398	0	4	0	1
ENSGALG00000031177	0	11	0	4
ENSGALG00000015252	1734	3043	2070	2154
ENSGALG00000015253	0	3	1	1
ENSGALG00000048346	1	5	0	2
ENSGALG00000015258	1098	1022	608	768
ENSGALG00000051367	19	13	10	23
ENSGALG00000015263	10	10	14	30
ENSGALG00000015267	3292	3669	3027	3155
ENSGALG00000053198	1	7	8	6
ENSGALG00000015271	1	1	5	2
ENSGALG00000015273	2002	2503	2267	2312
ENSGALG00000015275	1275	1881	1595	1448
ENSGALG00000015285	3370	3335	1865	2620
ENSGALG00000015287	12	42	8	21
ENSGALG00000015293	9	2	8	11
ENSGALG00000054719	0	0	0	0
ENSGALG00000015294	1	1	0	1
ENSGALG00000015299	3036	3419	2952	2944
ENSGALG00000049529	3	4	3	1
ENSGALG00000015307	1	0	0	1
ENSGALG00000015322	11	2	0	1
ENSGALG00000044642	40	69	85	89
ENSGALG00000015324	24	10	6	0
ENSGALG00000015327	456	544	442	495
ENSGALG00000015328	4059	4275	3365	3320
ENSGALG00000015330	7731	9152	8778	8343
ENSGALG00000015334	27	56	82	70
ENSGALG00000054191	2	10	12	8
ENSGALG00000015339	11729	10786	13716	16055
ENSGALG00000052183	43	75	91	89
ENSGALG00000015342	270	389	405	476
ENSGALG00000015344	402	586	639	633
ENSGALG00000015346	46	112	78	56
ENSGALG00000051786	1	0	0	1
ENSGALG00000015347	0	1	1	0
ENSGALG00000053977	1	0	0	0
ENSGALG00000054540	0	0	0	0
ENSGALG00000046736	0	1	0	0
ENSGALG00000048756	0	0	0	1
ENSGALG00000048963	0	0	0	1
ENSGALG00000051861	0	0	0	0
ENSGALG00000048148	0	3	0	5
ENSGALG00000047888	0	0	1	0
ENSGALG00000015348	156	330	169	194
ENSGALG00000015351	230	535	449	709
ENSGALG00000052718	0	0	3	1
ENSGALG00000052321	0	0	0	1
ENSGALG00000050369	0	0	0	0
ENSGALG00000053576	0	0	0	0
ENSGALG00000015353	331	646	689	786
ENSGALG00000054689	2	0	1	2
ENSGALG00000052869	1	0	0	0
ENSGALG00000049432	16	8	9	5
ENSGALG00000015355	3350	4943	4640	4949
ENSGALG00000015356	4156	3681	2707	3138
ENSGALG00000022871	856	690	859	1385
ENSGALG00000015358	16	118	94	54
ENSGALG00000015360	1427	2465	1815	1791
ENSGALG00000054836	2	0	1	1
ENSGALG00000028448	0	0	0	0
ENSGALG00000054120	0	0	0	3
ENSGALG00000015362	0	1	0	0
ENSGALG00000015363	2141	2793	2739	2365
ENSGALG00000015364	5	0	4	3
ENSGALG00000047477	0	0	0	0
ENSGALG00000050175	0	0	0	2
ENSGALG00000052346	2	7	8	3
ENSGALG00000047952	0	0	0	0
ENSGALG00000031836	0	0	0	0
ENSGALG00000048762	0	0	4	1
ENSGALG00000053605	1	0	0	1
ENSGALG00000051738	1	1	1	1
ENSGALG00000053253	0	0	0	0
ENSGALG00000015367	1778	2468	2179	1820
ENSGALG00000047264	0	2	0	1
ENSGALG00000048361	0	0	0	0
ENSGALG00000015375	5	9	22	1
ENSGALG00000015377	121	228	246	307
ENSGALG00000032712	0	0	0	0
ENSGALG00000015378	156	201	199	190
ENSGALG00000015379	0	13	19	6
ENSGALG00000050714	1	1	2	0
ENSGALG00000015389	0	11	31	4
ENSGALG00000054598	0	24	78	16
ENSGALG00000026299	0	17	13	3
ENSGALG00000045596	1	0	0	0
ENSGALG00000015395	0	7	14	3
ENSGALG00000015396	39	199	114	40
ENSGALG00000049574	8	21	48	3
ENSGALG00000055040	0	0	0	0
ENSGALG00000015400	352	597	515	603
ENSGALG00000022866	173	377	420	430
ENSGALG00000015402	1114	1080	1049	1108
ENSGALG00000054268	0	1	2	0
ENSGALG00000049107	1	15	2	11
ENSGALG00000048393	0	0	1	0
ENSGALG00000015403	12	14	8	20
ENSGALG00000028078	0	0	0	0
ENSGALG00000053901	1	1	0	0
ENSGALG00000052286	36	16	0	14
ENSGALG00000015409	177	340	244	271
ENSGALG00000015412	904	962	1060	1208
ENSGALG00000015413	0	9	18	0
ENSGALG00000015414	405	520	423	408
ENSGALG00000048846	0	0	0	0
ENSGALG00000053216	0	0	0	0
ENSGALG00000047443	0	2	0	2
ENSGALG00000052103	1	1	2	3
ENSGALG00000048683	0	0	0	3
ENSGALG00000050181	39	47	55	58
ENSGALG00000049649	135	113	258	145
ENSGALG00000047757	0	1	0	0
ENSGALG00000047612	1	0	0	0
ENSGALG00000040949	12	5	19	0
ENSGALG00000049116	0	0	0	0
ENSGALG00000054744	0	0	0	0
ENSGALG00000015418	17	7	11	1
ENSGALG00000050046	7	11	7	4
ENSGALG00000019215	1972	2085	1989	1763
ENSGALG00000024077	22	31	6	21
ENSGALG00000039302	2496	2607	2703	2289
ENSGALG00000050064	21	5	0	6
ENSGALG00000042639	0	0	0	0
ENSGALG00000053194	386	348	221	254
ENSGALG00000015435	62	122	85	132
ENSGALG00000015437	5283	5707	4936	4466
ENSGALG00000015438	171	219	181	213
ENSGALG00000040275	0	17	3	4
ENSGALG00000051316	0	15	1	4
ENSGALG00000040426	896	1225	596	835
ENSGALG00000015441	0	11	24	7
ENSGALG00000015446	966	1491	1488	1468
ENSGALG00000053808	0	3	0	0
ENSGALG00000015453	1	0	5	10
ENSGALG00000044138	0	0	12	14
ENSGALG00000019211	23	54	88	21
ENSGALG00000015458	376	481	394	402
ENSGALG00000052023	0	0	2	0
ENSGALG00000015459	144	190	219	115
ENSGALG00000047821	3	8	2	2
ENSGALG00000049467	0	1	0	3
ENSGALG00000047247	1	0	0	0
ENSGALG00000015461	1	0	0	1
ENSGALG00000053667	0	0	0	0
ENSGALG00000053135	1	3	0	8
ENSGALG00000015464	53	92	82	67
ENSGALG00000036738	4	15	11	12
ENSGALG00000015473	108	177	97	143
ENSGALG00000015474	0	10	14	8
ENSGALG00000024480	2384	2300	2383	2169
ENSGALG00000015480	5214	6471	5360	6934
ENSGALG00000052608	5	15	5	11
ENSGALG00000025782	0	0	0	0
ENSGALG00000037655	172	131	65	97
ENSGALG00000015485	788	732	614	1000
ENSGALG00000039452	0	15	0	11
ENSGALG00000015488	0	2	0	0
ENSGALG00000015491	979	1386	1322	1487
ENSGALG00000051948	0	0	0	0
ENSGALG00000015492	22	17	14	18
ENSGALG00000015494	3	0	3	2
ENSGALG00000054390	1	0	0	0
ENSGALG00000053150	0	0	0	0
ENSGALG00000035205	0	0	0	0
ENSGALG00000015495	0	0	1	1
ENSGALG00000015496	4297	6042	5275	3999
ENSGALG00000015497	77	48	89	79
ENSGALG00000043368	0	3	0	0
ENSGALG00000040733	2	1	1	1
ENSGALG00000043393	79	104	61	21
ENSGALG00000050578	11	16	9	13
ENSGALG00000025177	0	1	0	0
ENSGALG00000054389	2	0	0	0
ENSGALG00000050963	0	0	0	0
ENSGALG00000050351	0	0	0	2
ENSGALG00000049771	0	0	0	0
ENSGALG00000050385	0	1	0	0
ENSGALG00000052855	0	5	0	0
ENSGALG00000049646	0	0	0	0
ENSGALG00000053126	1	0	0	0
ENSGALG00000049053	0	1	1	0
ENSGALG00000042771	911	2000	1629	1273
ENSGALG00000053960	0	0	0	0
ENSGALG00000047044	0	4	0	0
ENSGALG00000027248	0	0	0	0
ENSGALG00000033418	0	0	0	0
ENSGALG00000025630	0	0	0	0
ENSGALG00000048469	0	3	0	0
ENSGALG00000051825	4	0	0	1
ENSGALG00000049042	0	0	0	0
ENSGALG00000054585	28	16	40	58
ENSGALG00000050832	6	13	8	7
ENSGALG00000015511	150	149	224	385
ENSGALG00000053259	2	4	1	8
ENSGALG00000046700	1	0	1	7
ENSGALG00000052472	0	0	0	0
ENSGALG00000040870	0	0	0	3
ENSGALG00000015519	690	968	903	1569
ENSGALG00000048974	1	0	1	1
ENSGALG00000027990	0	1	1	3
ENSGALG00000054478	0	0	0	1
ENSGALG00000052669	0	1	0	0
ENSGALG00000052279	0	0	1	0
ENSGALG00000015662	0	2	1	2
ENSGALG00000044391	12	26	15	24
ENSGALG00000015675	32	180	144	101
ENSGALG00000019201	1065	2294	1583	1839
ENSGALG00000040926	0	0	0	5
ENSGALG00000028720	0	1	0	0
ENSGALG00000052153	0	0	0	1
ENSGALG00000015681	743	1584	2074	2503
ENSGALG00000052655	0	0	1	0
ENSGALG00000047447	0	0	1	1
ENSGALG00000051833	0	0	1	0
ENSGALG00000050851	1	4	0	2
ENSGALG00000051722	1	0	0	0
ENSGALG00000015693	519	465	489	456
ENSGALG00000047787	0	3	0	1
ENSGALG00000036436	0	0	0	3
ENSGALG00000047085	1	4	0	2
ENSGALG00000049396	0	0	0	1
ENSGALG00000049095	18	84	61	65
ENSGALG00000040001	30	66	47	55
ENSGALG00000018242	0	1	1	5
ENSGALG00000018243	0	2	0	0
ENSGALG00000018244	0	0	0	0
ENSGALG00000050117	1	1	0	2
ENSGALG00000015701	4415	6011	6915	5275
ENSGALG00000028290	8001	7788	7059	4989
ENSGALG00000052895	25	14	12	20
ENSGALG00000015720	1209	1504	1635	907
ENSGALG00000015730	0	6	3	5
ENSGALG00000046773	0	1	0	0
ENSGALG00000052484	0	0	0	0
ENSGALG00000052264	0	3	2	6
ENSGALG00000053300	0	0	0	0
ENSGALG00000054144	0	0	0	0
ENSGALG00000052081	1	19	3	15
ENSGALG00000049490	0	0	0	0
ENSGALG00000053915	0	0	0	1
ENSGALG00000050997	0	1	0	2
ENSGALG00000048907	0	0	0	1
ENSGALG00000048133	0	1	0	1
ENSGALG00000047373	0	0	0	0
ENSGALG00000052645	0	0	1	2
ENSGALG00000047472	2	0	1	1
ENSGALG00000015737	4	9	14	12
ENSGALG00000054620	0	1	0	0
ENSGALG00000047694	2	1	0	0
ENSGALG00000047496	1	0	0	0
ENSGALG00000048861	0	1	0	0
ENSGALG00000046958	58	74	67	49
ENSGALG00000050918	0	0	2	0
ENSGALG00000050722	32	23	12	16
ENSGALG00000052860	0	3	2	2
ENSGALG00000017896	0	0	0	0
ENSGALG00000047511	0	1	0	0
ENSGALG00000053698	1	4	2	1
ENSGALG00000049763	0	0	0	0
ENSGALG00000048889	0	1	0	0
ENSGALG00000018245	0	0	0	0
ENSGALG00000015742	5382	6298	5481	5108
ENSGALG00000015746	543	680	564	543
ENSGALG00000015751	6164	5980	6939	7785
ENSGALG00000015763	4427	5962	5052	5630
ENSGALG00000015770	6256	7078	5159	6356
ENSGALG00000054665	0	0	0	0
ENSGALG00000053764	71	172	50	75
ENSGALG00000040342	134	64	87	118
ENSGALG00000015795	2	4	0	1
ENSGALG00000049590	0	0	0	0
ENSGALG00000052172	0	0	0	0
ENSGALG00000055068	6	10	9	9
ENSGALG00000048235	7	7	9	3
ENSGALG00000050583	12	15	9	9
ENSGALG00000053665	14	6	6	9
ENSGALG00000050657	10	6	5	7
ENSGALG00000050286	0	0	0	3
ENSGALG00000051303	0	0	0	0
ENSGALG00000053724	0	0	0	0
ENSGALG00000052922	0	1	0	0
ENSGALG00000047095	0	0	0	0
ENSGALG00000027781	0	0	0	0
ENSGALG00000015802	2734	2950	2918	2199
ENSGALG00000015804	1006	959	913	1564
ENSGALG00000015807	700	678	943	849
ENSGALG00000015813	2792	2433	2980	3711
ENSGALG00000015821	41802	48441	51369	46588
ENSGALG00000015822	11	28	0	0
ENSGALG00000036613	0	1	0	0
ENSGALG00000015828	212	417	573	489
ENSGALG00000015835	62	62	2	8
ENSGALG00000044073	0	0	0	0
ENSGALG00000015841	0	3	1	0
ENSGALG00000051471	3	0	2	2
ENSGALG00000015842	21	83	71	78
ENSGALG00000015844	15248	14874	18527	16545
ENSGALG00000033965	388	612	508	578
ENSGALG00000054987	2	7	0	6
ENSGALG00000015879	197	91	47	55
ENSGALG00000025522	0	0	0	0
ENSGALG00000015884	2161	2138	1915	1792
ENSGALG00000047769	0	0	2	1
ENSGALG00000015887	792	1217	1116	1322
ENSGALG00000032882	2	5	18	13
ENSGALG00000037962	503	354	495	451
ENSGALG00000034317	74	107	203	299
ENSGALG00000036833	554	719	604	792
ENSGALG00000040059	126	68	83	64
ENSGALG00000036823	1	10	27	8
ENSGALG00000031010	8	11	18	11
ENSGALG00000041867	1160	1235	1124	1239
ENSGALG00000037989	79	230	189	199
ENSGALG00000030363	3892	6984	6612	5803
ENSGALG00000054333	0	1	1	1
ENSGALG00000032660	279	625	396	346
ENSGALG00000034396	4837	5641	5980	6399
ENSGALG00000037414	218	217	326	191
ENSGALG00000033199	6	11	6	6
ENSGALG00000037076	4698	6289	5133	4855
ENSGALG00000052354	2266	2714	2639	2859
ENSGALG00000038649	259	284	167	224
ENSGALG00000029670	2639	2414	2259	1999
ENSGALG00000036677	1770	3176	3324	3104
ENSGALG00000041812	19394	16551	17447	15630
ENSGALG00000029644	2	24	15	4
ENSGALG00000027579	2717	2850	3091	2656
ENSGALG00000050828	0	0	0	0
ENSGALG00000028382	0	0	0	0
ENSGALG00000030793	0	1	0	1
ENSGALG00000034083	330	276	320	421
ENSGALG00000016011	0	1	0	0
ENSGALG00000016014	823	1310	603	717
ENSGALG00000016020	15	50	4	14
ENSGALG00000051733	2	1	0	2
ENSGALG00000016022	0	0	0	0
ENSGALG00000051017	0	0	1	0
ENSGALG00000053596	0	0	0	0
ENSGALG00000049981	0	0	0	0
ENSGALG00000050248	0	1	0	1
ENSGALG00000016024	220	198	321	166
ENSGALG00000016027	1939	2418	2569	2714
ENSGALG00000016036	100	103	94	175
ENSGALG00000035329	0	0	0	0
ENSGALG00000036556	3575	4087	4146	3915
ENSGALG00000016042	2073	3773	3271	3159
ENSGALG00000016043	0	0	1	0
ENSGALG00000016044	0	5	6	0
ENSGALG00000016047	838	976	835	1057
ENSGALG00000054080	301	397	1146	911
ENSGALG00000016050	1714	1715	2404	2024
ENSGALG00000016052	2431	2833	3378	2908
ENSGALG00000016053	277	252	259	266
ENSGALG00000049249	0	3	2	7
ENSGALG00000016054	1	1	1	0
ENSGALG00000052901	1	1	0	2
ENSGALG00000016055	0	38	1	1
ENSGALG00000016058	46	85	9	24
ENSGALG00000050080	0	1	1	0
ENSGALG00000016059	55	170	85	46
ENSGALG00000051565	0	0	0	0
ENSGALG00000048201	0	0	0	2
ENSGALG00000016062	6383	6916	6915	5262
ENSGALG00000016065	590	888	809	1005
ENSGALG00000016067	22696	22855	21228	19932
ENSGALG00000016070	7570	6935	8542	7418
ENSGALG00000016125	50	51	69	40
ENSGALG00000016127	30	115	74	20
ENSGALG00000016128	1	1	13	0
ENSGALG00000016132	0	4	14	1
ENSGALG00000049863	0	0	1	0
ENSGALG00000047890	447	604	409	602
ENSGALG00000049718	1	2	3	5
ENSGALG00000016138	5	12	14	7
ENSGALG00000052898	0	0	1	0
ENSGALG00000042372	0	0	0	0
ENSGALG00000054341	0	0	1	0
ENSGALG00000050551	0	36	2	0
ENSGALG00000051164	0	0	0	1
ENSGALG00000034932	47	96	29	99
ENSGALG00000016140	9	14	10	14
ENSGALG00000016142	0	0	15	1
ENSGALG00000016144	41	47	23	12
ENSGALG00000052496	0	10	0	6
ENSGALG00000040189	0	34	4	1
ENSGALG00000051940	0	0	0	5
ENSGALG00000019178	207	371	471	514
ENSGALG00000016148	13	49	16	8
ENSGALG00000016147	120	71	318	207
ENSGALG00000052523	0	0	0	4
ENSGALG00000016157	0	0	0	7
ENSGALG00000048672	0	1	0	4
ENSGALG00000016164	56	46	172	88
ENSGALG00000016165	0	2	0	0
ENSGALG00000016169	1	0	0	0
ENSGALG00000016173	15	10	2	2
ENSGALG00000043976	189	107	85	95
ENSGALG00000016185	3	48	2	43
ENSGALG00000055008	0	0	0	0
ENSGALG00000016186	643	706	562	688
ENSGALG00000016187	3073	3571	3621	4090
ENSGALG00000022813	3450	3820	3746	3249
ENSGALG00000016191	1077	1226	1855	1414
ENSGALG00000019175	0	0	1	1
ENSGALG00000016196	288	475	385	525
ENSGALG00000016198	5173	5683	5089	5434
ENSGALG00000051330	0	0	7	0
ENSGALG00000016199	14	8	3	15
ENSGALG00000047387	0	2	0	0
ENSGALG00000041988	140	225	158	158
ENSGALG00000053272	0	0	0	0
ENSGALG00000016202	197	178	245	208
ENSGALG00000035696	4014	4670	4439	5082
ENSGALG00000016205	9	32	47	43
ENSGALG00000051855	0	1	1	0
ENSGALG00000031932	217	239	150	265
ENSGALG00000022804	54	86	96	84
ENSGALG00000045726	4120	5278	6127	7368
ENSGALG00000019171	1620	1850	1317	1990
ENSGALG00000046714	850	902	892	1173
ENSGALG00000052076	228	308	348	418
ENSGALG00000045925	0	0	0	0
ENSGALG00000031637	750	1098	1121	1155
ENSGALG00000049841	1	0	0	1
ENSGALG00000051887	122	212	52	51
ENSGALG00000050699	99	102	62	97
ENSGALG00000026773	0	0	0	0
ENSGALG00000018247	0	0	0	0
ENSGALG00000053158	10	0	0	0
ENSGALG00000016215	86	118	87	80
ENSGALG00000016217	301	677	572	734
ENSGALG00000028187	5869	5980	5571	5252
ENSGALG00000016221	72	41	118	87
ENSGALG00000017897	0	1	0	0
ENSGALG00000016222	159	242	232	169
ENSGALG00000032836	28	41	10	12
ENSGALG00000016224	1209	739	831	1233
ENSGALG00000053839	0	0	0	0
ENSGALG00000048676	0	0	0	0
ENSGALG00000046871	0	0	0	0
ENSGALG00000055136	0	0	0	0
ENSGALG00000042400	465	830	606	705
ENSGALG00000044763	0	4	30	13
ENSGALG00000016227	0	18	70	122
ENSGALG00000016228	12	14	22	23
ENSGALG00000016231	20590	28366	23355	31515
ENSGALG00000047851	2	16	6	0
ENSGALG00000016232	35831	35546	37060	41611
ENSGALG00000016236	1064	1595	1201	1268
ENSGALG00000016238	493	469	318	433
ENSGALG00000053145	2	0	0	4
ENSGALG00000016241	4941	4757	6270	4795
ENSGALG00000032773	0	0	1	0
ENSGALG00000046706	1	1	1	3
ENSGALG00000016245	212	156	115	179
ENSGALG00000052407	0	0	0	0
ENSGALG00000053094	0	0	0	0
ENSGALG00000034279	238	223	433	422
ENSGALG00000027310	0	0	0	0
ENSGALG00000037064	0	0	1	1
ENSGALG00000054422	0	0	0	0
ENSGALG00000031795	0	0	1	0
ENSGALG00000032359	2	0	2	1
ENSGALG00000041078	3645	2355	1999	1610
ENSGALG00000050389	0	0	0	0
ENSGALG00000016251	732	1069	710	710
ENSGALG00000054425	0	0	0	0
ENSGALG00000016254	6	0	0	0
ENSGALG00000036284	265	393	546	415
ENSGALG00000043100	221	165	240	180
ENSGALG00000016258	0	0	1	3
ENSGALG00000016259	327	428	366	359
ENSGALG00000016261	307	269	241	321
ENSGALG00000016262	2	1	7	1
ENSGALG00000016265	16	72	27	33
ENSGALG00000016266	2616	2813	3028	3354
ENSGALG00000047504	0	0	0	0
ENSGALG00000051691	0	0	0	1
ENSGALG00000047677	0	0	0	0
ENSGALG00000016268	144	231	100	174
ENSGALG00000052277	0	19	11	2
ENSGALG00000049720	0	2	1	4
ENSGALG00000049103	0	0	0	0
