Gene_ID	Ctrl_rep1	Ctrl_rep2	dnBMPR1A_rep1	dnBMPR1A_rep2
ENSGALG00000048819	0	0	0	0
ENSGALG00000006690	2673	2587	1518	1767
ENSGALG00000055058	38	96	90	150
ENSGALG00000033772	631	625	770	778
ENSGALG00000003674	1819	2636	2495	2806
ENSGALG00000036300	3195	4973	4904	4214
ENSGALG00000013967	305	270	257	340
ENSGALG00000014038	924	1163	908	819
ENSGALG00000033051	74	87	62	87
ENSGALG00000030140	89	99	81	80
ENSGALG00000013738	736	991	881	1077
ENSGALG00000034198	1832	2211	2107	2808
ENSGALG00000051529	59	27	21	29
ENSGALG00000035636	281	213	251	357
ENSGALG00000051968	9	10	2	6
ENSGALG00000014575	3924	5044	5401	4878
ENSGALG00000006682	106	226	122	110
ENSGALG00000043593	2662	2404	2696	2740
ENSGALG00000034992	20	15	27	45
ENSGALG00000050213	18	6	15	6
ENSGALG00000025161	0	0	0	0
ENSGALG00000054941	9	6	31	15
ENSGALG00000054570	2	8	1	8
ENSGALG00000033226	2649	3296	3444	3519
ENSGALG00000049029	0	0	0	0
ENSGALG00000054077	0	1	0	0
ENSGALG00000035201	6489	8578	7454	7272
ENSGALG00000013920	5619	8120	5891	5374
ENSGALG00000013926	583	844	580	772
ENSGALG00000000451	14	15	22	40
ENSGALG00000006633	1259	1284	863	1006
ENSGALG00000030844	596	523	714	829
ENSGALG00000033788	0	0	1	3
ENSGALG00000030324	7	25	23	32
ENSGALG00000006576	120	142	175	248
ENSGALG00000047509	2	0	0	0
ENSGALG00000047727	0	1	1	1
ENSGALG00000006563	168	276	345	341
ENSGALG00000006560	302	382	400	600
ENSGALG00000038225	47	65	86	60
ENSGALG00000049217	0	0	0	0
ENSGALG00000037435	0	0	0	2
ENSGALG00000039659	2	6	15	33
ENSGALG00000039355	8	1	11	3
ENSGALG00000008486	182	163	186	176
ENSGALG00000048859	6	0	6	8
ENSGALG00000033974	1	0	1	0
ENSGALG00000050082	0	0	0	0
ENSGALG00000055032	0	0	0	0
ENSGALG00000052917	0	0	0	2
ENSGALG00000042096	0	0	1	1
ENSGALG00000052297	1	13	1	11
ENSGALG00000053789	0	0	0	0
ENSGALG00000040444	3	13	8	14
ENSGALG00000008439	1	16	0	3
ENSGALG00000008427	0	7	3	8
ENSGALG00000052110	24	21	0	9
ENSGALG00000008382	3726	3821	3428	2548
ENSGALG00000038834	27	36	49	79
ENSGALG00000041737	0	0	0	0
ENSGALG00000008335	711	631	799	918
ENSGALG00000008330	1294	1228	1288	1204
ENSGALG00000008328	194	219	133	152
ENSGALG00000038546	7	3	1	6
ENSGALG00000051957	559	677	537	573
ENSGALG00000055027	26	11	21	11
ENSGALG00000008312	296	458	652	636
ENSGALG00000046379	3	4	0	2
ENSGALG00000050444	0	0	0	9
ENSGALG00000008309	32	38	18	37
ENSGALG00000008306	0	0	0	0
ENSGALG00000008301	315	245	137	199
ENSGALG00000045817	12	19	31	43
ENSGALG00000008298	0	8	1	1
ENSGALG00000053565	0	19	21	11
ENSGALG00000008288	460	654	536	512
ENSGALG00000008285	204	655	399	274
ENSGALG00000008280	2881	3805	3579	4049
ENSGALG00000008249	4190	4136	3360	3736
ENSGALG00000008236	12316	12145	11833	11836
ENSGALG00000008222	278	601	417	538
ENSGALG00000008193	42	52	29	68
ENSGALG00000047635	0	0	0	0
ENSGALG00000049743	0	1	0	0
ENSGALG00000008175	3466	4109	4735	4694
ENSGALG00000051514	0	0	0	0
ENSGALG00000043367	11	31	2	12
ENSGALG00000047191	0	0	0	0
ENSGALG00000034533	43	186	53	190
ENSGALG00000054277	27	18	25	16
ENSGALG00000008167	939	974	784	970
ENSGALG00000008154	213	198	158	215
ENSGALG00000047845	12	51	7	7
ENSGALG00000008132	1593	1757	1921	1769
ENSGALG00000008123	675	940	847	888
ENSGALG00000045949	106	116	68	56
ENSGALG00000008115	41	108	111	137
ENSGALG00000054032	6	7	6	18
ENSGALG00000052028	2	8	1	0
ENSGALG00000029006	220	290	190	158
ENSGALG00000008098	1347	1699	1893	2058
ENSGALG00000031636	1	0	7	7
ENSGALG00000048516	4	1	0	1
ENSGALG00000008081	20	103	18	16
ENSGALG00000008060	1	5	11	4
ENSGALG00000008050	1271	2221	2294	2070
ENSGALG00000042764	1173	2248	2250	1594
ENSGALG00000008032	8	9	12	27
ENSGALG00000023661	930	1574	1217	1360
ENSGALG00000008009	5015	6791	5402	4620
ENSGALG00000007998	13	23	56	40
ENSGALG00000038981	1939	2091	2248	2413
ENSGALG00000007959	2	0	3	14
ENSGALG00000007931	2711	4690	3796	3988
ENSGALG00000007905	5337	4520	4244	4753
ENSGALG00000007917	37	93	76	159
ENSGALG00000007183	5004	5623	4829	4767
ENSGALG00000007161	73	88	27	57
ENSGALG00000035940	37	9	17	15
ENSGALG00000049464	4	6	15	3
ENSGALG00000038806	0	20	4	24
ENSGALG00000042554	42	77	22	77
ENSGALG00000042244	0	0	0	0
ENSGALG00000007098	1275	1684	1433	1581
ENSGALG00000043872	2	2	1	1
ENSGALG00000054983	0	0	2	1
ENSGALG00000007025	43	200	175	201
ENSGALG00000040272	1952	2332	2148	2248
ENSGALG00000013018	4658	5309	4525	5011
ENSGALG00000004897	5822	7943	7022	6212
ENSGALG00000031922	380	423	226	281
ENSGALG00000043355	51	31	70	23
ENSGALG00000054287	30	111	103	126
ENSGALG00000034274	166	205	124	171
ENSGALG00000048109	6	4	3	7
ENSGALG00000046989	0	1	0	0
ENSGALG00000019397	350	659	394	466
ENSGALG00000052352	0	1	2	0
ENSGALG00000043058	845	1056	1026	1379
ENSGALG00000048010	0	0	0	0
ENSGALG00000051900	0	0	0	0
ENSGALG00000047843	0	0	0	0
ENSGALG00000048481	0	1	0	0
ENSGALG00000050263	0	0	0	0
ENSGALG00000052402	0	0	0	0
ENSGALG00000023584	37	21	0	10
ENSGALG00000048222	29	38	29	28
ENSGALG00000048715	0	0	0	0
ENSGALG00000051371	0	1	0	0
ENSGALG00000054009	1	0	1	0
ENSGALG00000029379	1251	1464	832	1028
ENSGALG00000032659	1910	3264	2727	3209
ENSGALG00000052308	0	0	0	0
ENSGALG00000008539	4994	5900	6146	5570
ENSGALG00000008551	1474	1294	1525	1186
ENSGALG00000054568	2	1	1	3
ENSGALG00000051204	0	0	0	0
ENSGALG00000050602	0	0	0	1
ENSGALG00000023576	216	220	181	231
ENSGALG00000049901	0	0	2	0
ENSGALG00000008554	47	213	206	110
ENSGALG00000040038	55	76	56	36
ENSGALG00000033664	21	48	31	22
ENSGALG00000000003	115	114	109	118
ENSGALG00000030705	3618	4476	3530	4764
ENSGALG00000038467	105	84	106	99
ENSGALG00000032156	279	504	487	364
ENSGALG00000051829	29	36	30	52
ENSGALG00000051043	466	615	762	844
ENSGALG00000041251	582	729	913	1013
ENSGALG00000008635	0	402	132	0
ENSGALG00000019384	179	222	255	174
ENSGALG00000040023	166	378	375	206
ENSGALG00000048447	1	0	0	0
ENSGALG00000047054	6	1	0	0
ENSGALG00000039861	59	350	317	159
ENSGALG00000049506	0	0	1	2
ENSGALG00000052942	0	0	0	0
ENSGALG00000033997	163	417	377	394
ENSGALG00000039403	11	79	45	28
ENSGALG00000025697	0	0	0	0
ENSGALG00000049783	0	1	0	0
ENSGALG00000008740	1427	1951	2090	1916
ENSGALG00000050462	0	2	3	0
ENSGALG00000040954	177	376	206	157
ENSGALG00000031527	464	428	295	308
ENSGALG00000008761	15	58	64	23
ENSGALG00000008776	0	0	0	1
ENSGALG00000054326	10	33	27	4
ENSGALG00000008797	1926	1640	1290	1445
ENSGALG00000008805	5	3	1	3
ENSGALG00000008814	0	0	11	5
ENSGALG00000008821	7332	7655	7625	7405
ENSGALG00000008823	60	67	91	72
ENSGALG00000008836	8302	9150	9421	7806
ENSGALG00000008874	0	0	0	1
ENSGALG00000008926	95	338	127	89
ENSGALG00000054487	179	221	116	45
ENSGALG00000008941	117	120	37	37
ENSGALG00000008953	12	63	47	40
ENSGALG00000040114	183	259	228	324
ENSGALG00000052468	0	0	0	1
