"","Gene id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ctrl_rep1","Ctrl_rep2","dnBMPR1A_rep1","dnBMPR1A_rep2"
"1","ENSGALG00000002003",25172.5801637499,5.64156809054359,0.208100269514444,27.1098548007983,7.53551136301102e-162,7.00049005623724e-158,832.323055024199,1144.12807871085,43311.9302886931,55401.9392325716
"2","ENSGALG00000034661",9043.87082112556,-2.26631443321192,0.214218204719759,-10.5794670260481,3.71062929102556e-26,1.72358730568137e-22,16314.5854519617,13635.3472237647,3700.46620272825,2525.08440604759
"3","ENSGALG00000028415",1245.58470117552,2.4366862424068,0.279947549125172,8.70408135388712,3.20157338016511e-18,9.91420556724462e-15,501.500979989264,276.105161851933,2311.65424901379,1893.07841384709
"4","ENSGALG00000025817",675.106579791006,2.6520736370231,0.346875171640996,7.64561390910936,2.0795076637603e-14,4.82965654908329e-11,263.393371843101,108.041150289887,1116.91208795813,1212.0797090729
"5","ENSGALG00000039474",947.217038337926,-1.92212265151923,0.269001802859089,-7.14538947728202,8.97410723013307e-13,1.66738912335872e-09,1843.75360290171,1154.28579369537,387.128805147479,403.699951607143
"6","ENSGALG00000009129",751.507768327884,-1.54106646455766,0.237426339870276,-6.4907139848075,8.54305296657886e-11,1.20959743822308e-07,1127.32363148847,1109.96121921747,369.945542255815,398.800680349775
"7","ENSGALG00000001136",33872.7917503253,1.55093628577928,0.23930669719982,6.48095646267792,9.11429716637412e-11,1.20959743822308e-07,22099.7574711236,12376.7139943193,53564.2735539956,47450.4219818629
"8","ENSGALG00000033178",1161.29202744484,1.38563744689063,0.217992435821244,6.35635563073788,2.0659642331626e-10,2.39910096576007e-07,598.429740827526,687.030904407486,1626.34529368745,1733.36217085689
"9","ENSGALG00000006995",2508.6439052751,1.38901595076073,0.220052362602369,6.31220648728348,2.75084849890833e-10,2.83948695053982e-07,1150.50224821067,1621.54068298326,3870.27727130469,3392.25541860177
"10","ENSGALG00000013573",2218.69893791809,-1.18667610223076,0.190249710043456,-6.23746602273246,4.44715658795981e-10,4.13140847021467e-07,3164.9347560667,3001.14306360797,1326.14358316839,1382.57434882932
"11","ENSGALG00000005331",992.684686403532,1.79166703633343,0.289330248194823,6.19246362076529,5.92310233950373e-10,4.58546839449914e-07,360.322132681362,529.124607829959,1173.51577748361,1907.77622761919
"12","ENSGALG00000000242",651.344456610287,1.77446374119564,0.285979502081608,6.20486338454171,5.47444379126394e-10,4.58546839449914e-07,252.857636969377,336.128023124093,827.828959310144,1188.56320703754
"13","ENSGALG00000054080",683.682021450345,1.58416119288165,0.261521098112389,6.05748906805545,1.38262735025385e-09,9.88046775681406e-07,317.125619699094,366.601168077651,1158.35407493214,892.647223092494
"14","ENSGALG00000023818",1641.29893136341,1.56950635667009,0.264251515400413,5.93944127166824,2.85995104454552e-09,1.89778180027342e-06,851.287377796903,803.38291241198,1776.95153903203,3133.57389621273
"15","ENSGALG00000035016",48676.3777530266,-1.38473987255222,0.234233932904908,-5.91178167645926,3.38426919107639e-09,1.96499129906873e-06,84933.8266845264,55855.4278426017,31986.1384827466,21930.1180022317
"16","ENSGALG00000015013",2933.59122590305,-1.34067654591136,0.226497353739529,-5.91917090322007,3.23568599473619e-09,1.96499129906873e-06,4864.34879119839,3548.73624413706,1427.22160017817,1894.05826809856
"17","ENSGALG00000006110",3194.50194214949,-1.07523984403258,0.183203329538851,-5.86910645531995,4.38150052782937e-09,2.39436117079617e-06,4342.82991494905,4322.56944023044,2150.94020196824,1961.66821145025
"18","ENSGALG00000039553",233.052499276666,2.23356016581412,0.392847061930632,5.68557177146083,1.30375715203433e-08,6.72883552355498e-06,65.3215562170891,97.8834353053677,314.352632900433,454.652372683773
"19","ENSGALG00000038848",576.086154937868,-1.54383451037907,0.275010304473169,-5.61373332296244,1.98007299331561e-08,9.68151479363264e-06,852.340951284275,863.40577368414,342.654477663173,245.943417119886
"20","ENSGALG00000036638",767.706027023849,1.76803317500612,0.321847628094129,5.49338575361205,3.94300219986041e-08,1.83152452183516e-05,475.161642804954,222.546301024468,1117.92286812823,1255.19329613774
"21","ENSGALG00000007710",4432.04989785194,0.955857908192762,0.178068027854825,5.36793673579658,7.96424779345263e-08,3.52323152386547e-05,2979.50582228916,3051.00820989561,5578.49575877006,6119.18980045294
"22","ENSGALG00000043035",1361.03455294236,-1.35403214651494,0.253008915119434,-5.35171713564228,8.71235127470906e-08,3.67898833372941e-05,2324.18311314352,1589.22068075979,871.292506624351,659.441911241766
"23","ENSGALG00000016293",2149.24141132714,1.40670441827534,0.264375807691941,5.32085152025136,1.03282674148445e-07,4.17172192538721e-05,1529.78870366473,825.545199650931,3009.09256638132,3232.53917561157
"24","ENSGALG00000014994",3598.98933395948,1.10490188651184,0.20849882843053,5.29931940063624,1.16235143934296e-07,4.49926869645671e-05,2573.88002965078,1995.52928014056,5430.92185393578,4395.62617211079
"25","ENSGALG00000003661",1024.81297799689,1.32253035575377,0.254265499006757,5.2013755736425,1.97818889429689e-07,7.35094993120724e-05,465.679481418603,704.576048471656,1512.12713446639,1416.8692476309
"26","ENSGALG00000028354",2411.52148643195,-0.999806309743669,0.195144095908012,-5.12342587200261,3.00033633364931e-07,0.000107204325152316,3467.31034694258,2963.28248957476,1652.62557810999,1562.86753110047
"27","ENSGALG00000017119",14473.8796296988,0.877194838855976,0.173167057196048,5.06559880995654,4.07118532541392e-07,0.000140078932122575,10774.8960553576,9634.13094849907,19734.4720409905,17752.0194739481
"28","ENSGALG00000035317",166.555809620515,-2.07835194707129,0.412801849561083,-5.03474475533752,4.78485962155895e-07,0.000158754806729581,286.571988565294,252.09601734307,69.743831736752,57.8114008369453
"29","ENSGALG00000005769",2040.26720029749,-0.968404605102114,0.194646751526568,-4.97519017146265,6.51836148437995e-07,0.000208812338585827,2824.63051964542,2576.36589152807,1339.28372537966,1420.78866463679
"30","ENSGALG00000011715",13362.3579192924,1.22255669028444,0.24730138576302,4.94359013198565,7.66968658752995e-07,0.000237504627993844,7032.6030282108,9000.65890491905,13496.9476113167,23919.2221327232
"31","ENSGALG00000023444",167.397868027418,2.23486582645425,0.454205254694271,4.92038743135755,8.63730658836349e-07,0.000258840574857732,43.1965129822686,73.8742907965039,220.350077081332,332.170591249567
"32","ENSGALG00000023904",176.192420077453,-2.86635706467987,0.583414062913353,-4.91307503005044,8.96589457562746e-07,0.000260291126898685,134.857406383668,484.800033352057,59.6360300357735,25.4762105383149
"33","ENSGALG00000017046",80.8921929089089,3.0939516832347,0.633494649127036,4.88394288333486,1.03985207882568e-06,0.000292734115523955,11.5893083610964,22.1622872389512,184.972771127908,104.84440490768
"34","ENSGALG00000048488",2181.39222725043,0.953983425876033,0.195598467687141,4.87725408668296,1.07572830831458e-06,0.000293926940713012,1557.18161433641,1413.76924011809,2720.00943773333,3034.60861681389
"35","ENSGALG00000016906",856.363651449743,-1.14460224826022,0.236216744663851,-4.8455593183669,1.26255481143786e-06,0.000335118119950221,1265.34175833426,1093.33950378826,567.047675424897,499.725668251561
"36","ENSGALG00000021525",140.172409584663,-2.36330840945134,0.488315229371107,-4.83971882772325,1.30022953197475e-06,0.000335531454223484,280.25054764106,189.302870166041,32.3449654431314,58.7912550884189
